Species,phenotype
Arhodomonas aquaeolei,HALOPHILES
Ectothiorhodospira haloalkaliphilia,HALOPHILES
Ectothiorhodospira marina,HALOPHILES
Ectothiorhodospira marismortui,HALOPHILES
Ectothiorhodospira mobilis,HALOPHILES
Ectothiorhodospira vacuolata,HALOPHILES
Halochromatium glycolicum,HALOPHILES
Halochromatium salexigens,HALOPHILES
Halorhodospira (ectothiorhodospira) abdelmalekii,HALOPHILES
Halorhodospira (ectothiorhodospira) halochloris,HALOPHILES
Halorhodospira (ectothiorhodospira) halophila,HALOPHILES
Marichromatium bheemlicum,HALOPHILES
Marichromatium fluminis,HALOPHILES
Marichromatium gracile,HALOPHILES
Marichromatium indicum,HALOPHILES
Marichromatium purpuratum,HALOPHILES
Rhabdochromatium marinarum,HALOPHILES
Rhodobaca bogoriensis,HALOPHILES
Rhodobium marinum,HALOPHILES
Rhodobium orientis,HALOPHILES
Rhodothalassium (rhodospirillum) salexigens,HALOPHILES
Rhodovibrio salinarum,HALOPHILES
Rhodovibrio sodomensis,HALOPHILES
Rhodovulum euryhalinum,HALOPHILES
Rhodovulum iodosum,HALOPHILES
Rhodovulum robiginosum,HALOPHILES
Rhodovulum salis sp. nov.,HALOPHILES
Rhodovulum strictum,HALOPHILES
Rhodovulum adriaticum,HALOPHILES
Rhodovulum sulfidophilum,HALOPHILES
Roseospira mediosalina,HALOPHILES
Roseospira marina sp. nov,HALOPHILES
Roseospira navarrensis sp. nov,HALOPHILES
Roseospira thiosulfatophila sp. nov,HALOPHILES
Thiohalocapsa halophila,HALOPHILES
Thiohalocapsa marina,HALOPHILES
Isochromatium buderi,HALOPHILES
Erythrobacter ani,HALOPHILES
Erythrobacter colymbi,HALOPHILES
Erythrobacter crassostreae,HALOPHILES
Erythrobacter insulae,HALOPHILES
Erythrobacter litoralis,HALOPHILES
Roseobacter litoralis,HALOPHILES
Roseobacter denitrificans,HALOPHILES
Allochromatium minutissimum,HALOTOLERANTS
Allochromatium vinosum,HALOTOLERANTS
Allochromatium warmingii,HALOTOLERANTS
Blastochloris gulmargensis,HALOTOLERANTS
Blastochloris sulfoviridis,HALOTOLERANTS
Blastochloris tepida,HALOTOLERANTS
Blastochloris viridis,HALOTOLERANTS
Ectothiorhhodospira shaposhnikovii,HALOTOLERANTS
Rhodobacter azotoformans,HALOTOLERANTS
Rhodobacter blasticus,HALOTOLERANTS
Rhodobacter capsulatus,HALOTOLERANTS
Rhodobacter sphaeroides,HALOTOLERANTS
Rhodobacter veldkampii,HALOTOLERANTS
Rhodobium pfennigii,HALOTOLERANTS
Rhodocista pekingensis,HALOTOLERANTS
Rhodocyclus purpureus,HALOTOLERANTS
Rhodocyclus tenuis,HALOTOLERANTS
Rhodoferax antarcticus,HALOTOLERANTS
Rhodoferax fermentans,HALOTOLERANTS
Rhodoplanes azumiensis,HALOTOLERANTS
Rhodoplanes elegans,HALOTOLERANTS
Rhodoplanes oryzae,HALOTOLERANTS
Rhodoplanes pokkaliisoli,HALOTOLERANTS
Rhodoplanes roseus,HALOTOLERANTS
Rhodoplanes serenus/piscinae,HALOTOLERANTS
Rhodoplanes tepidamans (rhodopseudomonas cryptolactis),HALOTOLERANTS
Rhodoplanes tepidicaeni,HALOTOLERANTS
Rhodopseudomonas julia,HALOTOLERANTS
Rhodopseudomonas palustris,HALOTOLERANTS
Rhodopseudomonas rhenobacensis,HALOTOLERANTS
Rhodospirillum rubrum,HALOTOLERANTS
Rhodovulum viride sp. nov.,HALOTOLERANTS
Rubrivivax albus sp. nov,HALOTOLERANTS
Rubrivivax benzoatilyticus,HALOTOLERANTS
Rubrivivax gelatinosus,HALOTOLERANTS
Thiorhodospira sibirica,HALOTOLERANTS
Thiorhodovibrio winogradskyi sp. nov,HALOTOLERANTS
Ectothiorhodospira magna sp. nov,HALOTOLERANTS
Erythrobacter longus,HALOTOLERANTS
Erythrobacter alti,HALOTOLERANTS
Erythrobacter aurantius,HALOTOLERANTS
Erythrobacter cryptus,HALOTOLERANTS
Erythrobacter dokdonensis,HALOTOLERANTS
Erythrobacter donghaensis,HALOTOLERANTS
Erythrobacter neustonensis,HALOTOLERANTS
Erythrobacter ramosus,HALOTOLERANTS
Erythrobacter rubeus,HALOTOLERANTS
Erythrobacter sanguineus,HALOTOLERANTS
