Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"1187851.3","Rhodovulum sp. PH10",,1187851,"131567;2;1224;28211;204455;31989;34008;2631432;1187851","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Rhodovulum;unclassified Rhodovulum;Rhodovulum sp. PH10","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Rhodovulum",,"WGS","PH10",,,,,,,,,,,,,,,,,,,,"Good","2012-08-28T00:00:00Z","23105089",,"PRJNA165169","SAMN02469994","GCA_000293785.1",,"AKZI00000000","Institute of Microbial Technology","WGS","Illumina-HiSeq 1000 paired-end","700x","CLCbio v. 5",,,273,4831432,69.28,32,49232,47,3,,4530,95.9,94.4,7,98.5,,"soil sample collected from Mangrove forest of Namkhana, India","isolated from soil sample collected from Mangrove forest of Namkhana, India","2011",2011,,"India","Asia","India: Mangrove forest, Namkhana",,"Human, Homo sapiens","Human",,,,"Human",,,,,"'Rhodovulum sp. a phototrophic alpha-proteobacterium isolated from soil sample collected from Mangrove forest of Namkhana, India.'","2014-12-08T22:12:43.995Z","2015-03-16T03:17:09.594Z"
"1188256.18","Rhodovulum sulfidophilum DSM 1374",,1188256,"131567;2;1224;28211;204455;31989;34008;35806;1188256","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Rhodovulum;Rhodovulum sulfidophilum;Rhodovulum sulfidophilum DSM 1374","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Rhodovulum","Rhodovulum sulfidophilum","Plasmid","DSM 1374",,,,,,,,,,,,,,,,,"DSM:1374","Yes",,,"2016-04-28T00:00:00Z",,,"PRJNA319729","SAMN04903811","GCA_001633165.1",,"CP015419","Toyohashi University of Technology","Plasmid","Illumina MiSeq","70x","Newbler v. 2.9",,1,1,113163,68.91,,,,,,99,,,,,,"marine mud","derived from DSM 1374","1972-1973",1972,,"Netherlands","Europe","Netherlands: Groningen, Waddenzee",,,,,,,,,,,"sample_type:cell culture","Whole-genome sequencing of Rhodovulum sulfidophilum type strain DSM 1374 and laboratory strain derived from DSM 1374.","2017-12-30T02:04:27.753Z","2017-12-30T02:04:27.753Z"
"1188256.19","Rhodovulum sulfidophilum DSM 1374",,1188256,"131567;2;1224;28211;204455;31989;34008;35806;1188256","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Rhodovulum;Rhodovulum sulfidophilum;Rhodovulum sulfidophilum DSM 1374","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Rhodovulum","Rhodovulum sulfidophilum","Plasmid","DSM 1374",,,,,,,,,,,,,,,,,"DSM:1374","Yes",,,"2016-04-28T00:00:00Z",,,"PRJNA319729","SAMN04903811","GCA_001633165.1",,"CP015420","Toyohashi University of Technology","Plasmid","Illumina MiSeq","70x","Newbler v. 2.9",,1,1,102180,69.53,,,,,,83,,,,,,"marine mud","derived from DSM 1374","1972-1973",1972,,"Netherlands","Europe","Netherlands: Groningen, Waddenzee",,,,,,,,,,,"sample_type:cell culture","Whole-genome sequencing of Rhodovulum sulfidophilum type strain DSM 1374 and laboratory strain derived from DSM 1374.","2017-12-30T02:04:12.507Z","2017-12-30T02:04:12.507Z"
"1188256.20","Rhodovulum sulfidophilum DSM 1374",,1188256,"131567;2;1224;28211;204455;31989;34008;35806;1188256","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Rhodovulum;Rhodovulum sulfidophilum;Rhodovulum sulfidophilum DSM 1374","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Rhodovulum","Rhodovulum sulfidophilum","Plasmid","DSM 1374",,,,,,,,,,,,,,,,,"DSM 1374",,,,"2015-10-03T00:00:00Z","23929476",,"PRJDB1308","SAMD00036750","GCA_000520135.1",,"BASI00000000","Tokyo Institute of Technology","Plasmid","Roche 454 GS FLX Titanium; Illumina GA IIx","50x","Newbler v. 2.6",,1,1,102213,69.44,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,"Rhodovulum sulfidophilum is a marine photosynthetic purple bacterium (an alpha-3-proteobacteria) that can grow by either photosynthesis or respiration using a wide range of organic compounds. To better understand its photosynthesis, sulfide oxidation, and regulation of photosystem synthesis, we determined the genome sequence of the R. sulfidophilum W4 (DSM 1374).","2017-12-30T05:56:26.421Z","2017-12-30T05:56:26.421Z"
"1188256.21","Rhodovulum sulfidophilum DSM 1374",,1188256,"131567;2;1224;28211;204455;31989;34008;35806;1188256","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Rhodovulum;Rhodovulum sulfidophilum;Rhodovulum sulfidophilum DSM 1374","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Rhodovulum","Rhodovulum sulfidophilum","Plasmid","DSM 1374",,,,,,,,,,,,,,,,,"DSM 1374",,,,"2015-10-03T00:00:00Z","23929476",,"PRJDB1308","SAMD00036750","GCA_000520135.2",,"BASI00000000","Tokyo Institute of Technology","Plasmid","Roche 454 GS FLX Titanium; Illumina GA IIx","50x","Newbler v. 2.6",,1,1,113621,68.89,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,"Rhodovulum sulfidophilum is a marine photosynthetic purple bacterium (an alpha-3-proteobacteria) that can grow by either photosynthesis or respiration using a wide range of organic compounds. To better understand its photosynthesis, sulfide oxidation, and regulation of photosystem synthesis, we determined the genome sequence of the R. sulfidophilum W4 (DSM 1374).","2017-12-30T05:56:44.018Z","2017-12-30T05:56:44.018Z"
"1188256.3","Rhodovulum sulfidophilum DSM 1374",,1188256,"131567;2;1224;28211;204455;31989;34008;35806;1188256","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Rhodovulum;Rhodovulum sulfidophilum;Rhodovulum sulfidophilum DSM 1374","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Rhodovulum","Rhodovulum sulfidophilum","Complete","DSM 1374",,,,,,,,,,,,,,,,,"DSM 1374",,,"Good","2015-10-03T00:00:00Z","23929476",,"PRJDB1308","SAMD00036750","GCF_000520135.1",,"BASI00000000","Tokyo Institute of Technology","Complete","Roche 454 GS FLX Titanium; Illumina GA IIx","50x","Newbler v. 2.6",,2,3,4346304,66.52,1,4130470,50,9,,4251,96.8,96.1,,100,,,,,,,,,,,,,,,,,,,,,"Rhodovulum sulfidophilum is a marine photosynthetic purple bacterium (an alpha-3-proteobacteria) that can grow by either photosynthesis or respiration using a wide range of organic compounds. To better understand its photosynthesis, sulfide oxidation, and regulation of photosystem synthesis, we determined the genome sequence of the R. sulfidophilum W4 (DSM 1374).","2016-01-17T15:34:06.740Z","2016-01-17T15:34:06.740Z"
"1188256.8","Rhodovulum sulfidophilum DSM 1374",,1188256,"131567;2;1224;28211;204455;31989;34008;35806;1188256","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Rhodovulum;Rhodovulum sulfidophilum;Rhodovulum sulfidophilum DSM 1374","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Rhodovulum","Rhodovulum sulfidophilum","Complete","DSM 1374",,,,,,,,,,,,,,,,,"DSM:1374","Yes",,"Good","2016-04-28T00:00:00Z",,,"PRJNA319729","SAMN04903811","GCF_001633165.1",,"CP015418,CP015419,CP015420","Toyohashi University of Technology","Complete","Illumina MiSeq","70x","Newbler v. 2.9",,2,3,4347929,66.88,1,4132586,50,3,,4267,96.8,96.1,,100,,"marine mud","derived from DSM 1374","1972-1973",,,"Netherlands","Europe","Netherlands: Groningen, Waddenzee",,,,,,,,,,,"sample_type:cell culture","Whole-genome sequencing of Rhodovulum sulfidophilum type strain DSM 1374 and laboratory strain derived from DSM 1374.","2016-05-23T14:44:54.406Z","2016-05-23T14:44:54.406Z"
"1231134.3","Rhodovulum viride strain JA756",,1231134,"131567;2;1224;28211;204455;31989;34008;1231134","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Rhodovulum;Rhodovulum viride","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Rhodovulum",,"WGS","JA756",,,,,,,,,,,,,,,,,,,"Representative","Good","2018-06-26T00:00:00Z",,,"PRJNA367267","SAMN06264310","GCA_003265965.1",,"MUAV00000000","UoH","WGS","Illumina HiSeq","150.0x","SPAdes v. 3.5",,,324,4546384,67.630806,10,150047,43,1,,4706,98,97,,100,,"Pink pond",,"2011-05-19",2011,,"India","Asia","India: Andhra Pradesh",,,,,,,,,,,"sample_type:Water","Rhodovulum viridae JA756 is anoxygenic phototrophic bacterium.","2018-07-16T10:18:13.647Z","2018-07-16T10:18:13.647Z"
"1469613.3","Rhodovulum sp. NI22",,1469613,"131567;2;1224;28211;204455;31989;34008;2631432;1469613","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Rhodovulum;unclassified Rhodovulum;Rhodovulum sp. NI22","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Rhodovulum",,"WGS","NI22",,,,,,,,,,,,,,,,,,,,"Good","2014-09-22T00:00:00Z","-",,"PRJNA258472","SAMN02998080","GCA_000756565.1",,"JQFU00000000","UDRI","WGS","454","20.0x","Newbler v. July-2014",,,120,3819905,64.39,19,57970,42,3,,3756,97.9,96.2,,100,,"surface sea water",,"2011",2011,,"USA","North America","USA: Key West, Florida",,,,,,,,,,,,"Rhodovulum sp novel - napthalene degrader","2015-03-12T13:45:43.159Z","2015-03-16T03:17:09.594Z"
"1564506.4","Rhodovulum sp. P5 strain P5",,1564506,"131567;2;1224;28211;204455;31989;34008;2631432;1564506","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Rhodovulum;unclassified Rhodovulum;Rhodovulum sp. P5","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Rhodovulum",,"Complete","P5",,,,,,,,,,,,,,,,,,,,"Poor","2017-04-05T00:00:00Z",,,"PRJNA316381","SAMN04579687","GCA_002079305.1",,"CP015039,CP015040,CP015041,CP015042,CP015043","Xiamen University","Complete","PacBio; Illumina","100X","HGAP v. 2",,4,5,4473545,64.64,1,4137334,49,9,,4376,96.8,69,41.2,100,"High CheckM contamination score","shallow-sea hydrothermal system",,"2014-05-25",2014,,"Taiwan","Asia","Taiwan: Kueishantao Island","env_biome:hydrotherm",,,,,,,,,,"sample_type:cell culture;biomaterial_provider:Kai Tang;collected_by:Yu Han","The significance of biological evolution in the ancient marine","2017-05-28T08:43:19.347Z","2017-05-28T08:43:19.347Z"
