Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"1873883.4","Rhodoplanes sp. JGI PP 4-B12",,1873883,"131567;2;1224;28211;356;45401;29407;2619116;1873883","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Rhodoplanes;unclassified Rhodoplanes;Rhodoplanes sp. JGI PP 4-B12","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae","Rhodoplanes",,"WGS","JGI PP 4-B12",,,,,,,,,,,,,,,,,,,,"Poor","2017-06-23T00:00:00Z",,,"PRJEB21435","SAMN05414138","GCA_900188135.1",,"FYEN00000000","DOE - JOINT GENOME INSTITUTE","WGS",,,,,,17,202382,60.32404,7,11870,1,,,237,94.2,94.2,,,"Genome too short",,,,,,"Canada","North America","Canada: Paint Pots, British Columbia",,,,,,,,,,,,"Rhodoplanes sp. JGI PP 4-B12","2019-10-02T19:47:37.736Z","2019-10-02T19:47:37.736Z"
"1968906.4","Rhodoplanes sp. strain Cfx2-03",,1968906,"131567;2;1224;28211;356;45401;29407;2619116;1968906","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Rhodoplanes;unclassified Rhodoplanes;Rhodoplanes sp.","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae","Rhodoplanes",,"WGS","Cfx2-03",,,,,,,,,,,,,,,,,,,,"Good","2020-06-30T00:00:00Z",,,"PRJNA640240","SAMN15371437","GCA_013377085.1",,"JACAAX000000000","University of Waterloo","WGS","Illumina HiSeq","70.8x","SPAdes v. 3.13.1",,,89,6477518,68.82491,18,117313,45,,,6181,95,92.5,,,,"Ca. Chloroheliales L227-5C initial enrichment culture; a non-axenic enrichment culture of water from the upper anoxic zone (5 m depth) of a Boreal Shield lake","recovered from these metagenomes are also included in the BioProject","2017-09",2017,,"Canada","North America","Canada: near Kenora, Ontario, Lake 227, IISD-Experimental Lakes Area",,,,,,,,,,,"sample_type:metagenomic assembly","Filamentous anoxygenic phototrophs (also called 'green nonsulfur bacteria') belong to the Chloroflexota (formerly Chloroflexi) phylum and have remained cryptic in their evolutionary origins. Although phototrophic Chloroflexota members use a Type II photosynthetic reaction center, many members also contain chlorosomes, a light-harvesting apparatus only otherwise associated with Type I reaction center-containing phototrophs. Here we report the cultivation of 'Candidatus Chlorohelix allophototropha', a highly novel filamentous anoxygenic phototroph that contains a Type I reaction center and chlorosomes. 'Ca. Chx. allophototropha' represents the first cultured member of a novel order within the Chloroflexota phylum that we have provisionally named the 'Ca. Chloroheliales'. With the cultivation of 'Ca. Chx. allophototropha', the Chloroflexota now represents the only known microbial phylum where both known types of photosynthetic reaction center are utilized separately in members of the phylum.This BioProject contains raw metagenome sequencing reads (generated by the Illumina HiSeq platform with 2x125 base reads) from early enrichment cultures of both 'Ca. Chx. allophototropha' and a second related organism, 'Ca. Chloroheliales L227-5C', which was lost after the first subculture. This BioProject also contains read-cloud metagenome sequencing reads (generated by the Illumina MiSeq platform with 2x150 base reads) representing a later and more highly purified version of the 'Ca. Chx. allophototropha' culture. The read cloud sequencing library was prepared using the TELL-Seq WGS Library Prep Kit. High-completeness and low-contamination genome bins recovered from these metagenomes are also included in the BioProject. Note that only genome bins of the two 'Ca. Chloroheliales' members have been manually curated.","2020-07-28T02:46:53.827Z","2020-07-28T02:46:53.827Z"
"1968906.5","Rhodoplanes sp. JOPF634",,1968906,"131567;2;1224;28211;356;45401;29407;2619116;1968906","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Rhodoplanes;unclassified Rhodoplanes;Rhodoplanes sp.","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae","Rhodoplanes",,"WGS","JOPF634",,,,,,,,,,,,,,,,,,,,"Poor","2023-05-19T00:00:00Z",,,"PRJNA883528","SAMN35020726",,,"JASILZ000000000",,,"Illumina HiSeq","Not Applicable","MEGAHIT v. 1.2.7",,,1739,7839401,61.658447,576,4652,34,,,11571,81,76.4,,79.2,"High contig L50;Low contig N50;Too many contigs;Too many hypothetical CDS","peat soil",,"2015-01-18",2015,,"Indonesia","Asia","Indonesia: Jambi",,,,,,,,,,,"sample_type:metagenomic assembly",,"2023-05-28T03:18:27.598Z","2023-05-28T03:18:27.598Z"
"200615.4","Rhodoplanes serenus strain DSM 18633",,200615,"131567;2;1224;28211;356;45401;29407;200615","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Rhodoplanes;Rhodoplanes serenus","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae","Rhodoplanes",,"WGS","DSM 18633",,,,,,,,,,,,,,,,,"DSM:18633","Yes",,"Good","2019-11-30T00:00:00Z",,,"PRJNA589645","SAMN13286682","GCA_009720755.1",,"WNKV00000000","Bellevue University","WGS","Illumina MiniSeq","41.0x","Spades de novo v. 3.10.0",,,51,5501108,70.276825,8,262047,48,1,,5324,95,91.6,,,,"pond water","isolated from pond water in Japan","1996",1996,,"Japan","Asia","Japan",,,,,,,,,,,"sample_type:Purified culture;biomaterial_provider:DSMZ","Whole genome sequence of the purple non-sulfur bacterium Rhodoplanes serenus DSM18633 type strain, originally isolated from pond water in Japan.","2019-12-31T14:42:21.254Z","2019-12-31T14:42:21.254Z"
"200616.5","Rhodoplanes tepidamans DSM 9987",,200616,"131567;2;1224;28211;356;45401;29407;200616","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Rhodoplanes;Rhodoplanes tepidamans","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae","Rhodoplanes",,"WGS","DSM 9987",,,,,,,,,,,,,,,,,"DSM:9987",,,"Good","1900-01-01T00:00:00Z",,,"PRJNA930455","SAMN33009799",,,"JAQQLI000000000",,,"Illumina MiniSeq","28.0x","Unicycler v. Dec-2022",,,132,6800548,71.12109,23,94445,47,,,6536,95.2,91.7,3.1,93.8,,"geothermal hot spring",,"1990",1990,,"USA","North America","USA: Wyoming",,,,,,,,,,,"sample_type:purified culture;biomaterial_provider:DSMZ",,"2023-02-15T04:39:28.959Z","2023-02-15T04:39:28.959Z"
"200616.6","Rhodoplanes tepidamans DSM 9987",,200616,"131567;2;1224;28211;356;45401;29407;200616","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Rhodoplanes;Rhodoplanes tepidamans","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae","Rhodoplanes",,"WGS","DSM 9987",,,,,,,,,,,,,,,,,"DSM:9987",,,"Good","2023-08-18T00:00:00Z",,,"PRJNA708413","SAMN18243023",,,"JAUSUJ000000000",,,"Illumina","218.0x","SPAdes v. 3.14.1",,,63,6861372,71.09658,11,207125,48,2,,6554,95.4,91.9,3.1,93.8,,,,,,,,,,,"Not applicable",,,,,,,,,,,"2023-09-07T04:53:00.238Z","2023-09-07T04:53:00.238Z"
"211454.3","uncultured Rhodoplanes sp. SRR6145091_bin.7_CONCOCT_v1.1_MAG",,211454,"131567;2;1224;28211;356;45401;29407;211453;211454","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Rhodoplanes;environmental samples;uncultured Rhodoplanes sp.","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae","Rhodoplanes",,"WGS","SRR6145091_bin.7_CONCOCT_v1.1_MAG",,,,,,,,,,,,,,,,,,,,"Good","2023-01-08T00:00:00Z",,,"PRJEB51076","SAMEA13902906",,,"CAKZHN000000000",,,,,,,,592,7519542,65.261185,130,18576,45,,,7665,94.8,90,6.4,96.7,,"human skin metagenome",,"2017-07-17",2017,,"Hong Kong","Asia","Hong Kong",,,,,,,,,,,,,"2023-02-15T04:43:34.501Z","2023-02-15T04:43:34.501Z"
"29408.4","Rhodoplanes elegans strain DSM 11907",,29408,"131567;2;1224;28211;356;45401;29407;29408","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Rhodoplanes;Rhodoplanes elegans","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae","Rhodoplanes",,"WGS","DSM 11907",,,,,,,,,,,,,,,,,"DSM:11907",,,"Poor","2018-06-20T00:00:00Z",,,"PRJNA396224","SAMN07423869","GCA_003258805.1",,"NPEU00000000","Indiana University","WGS","Illumina NextSeq","349.85x","SPAdes v. 3.9.1",,,1103,6502640,69.49487,167,11051,49,,,7037,96.7,90.7,6.7,99.6,"Too many contigs",,,,,,,,,,,,,,,,,,,"sample_type:cell culture","Genome sequencing of Rhodoplanes elegans DSM 11907 for phylogenetic analysis of purple nonsulfur bacteria.","2018-07-16T09:08:30.597Z","2018-07-16T09:08:30.597Z"
"29408.6","Rhodoplanes elegans strain DSM 11907",,29408,"131567;2;1224;28211;356;45401;29407;29408","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Rhodoplanes;Rhodoplanes elegans","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae","Rhodoplanes",,"WGS","DSM 11907",,,,,,,,,,,,,,,,,"DSM:11907",,"Representative","Good","1900-01-01T00:00:00Z","33375353",,"PRJNA387386","SAMN07156351","GCA_016653355.1",,"NHSK00000000","GEOMAR Helmholtz Centre for Ocean Research Kiel","WGS","Illumina MiSeq","33x","SPAdes v. 3.10.1",,,320,6538588,69.47123,63,32496,49,,,6814,95.7,92,,,,"sewage treatment plant",,,,,"Japan","Asia","Japan: Tokyo",,,,,,,,,,,"sample_type:cell culture","Sequencing and assembly of draft genomes of cultured anoxygenic phototrophic bacteria","2021-02-01T06:17:36.379Z","2021-02-01T06:17:36.379Z"
"29409.3","Rhodoplanes roseus strain DSM 5909",,29409,"131567;2;1224;28211;356;45401;29407;29409","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Rhodoplanes;Rhodoplanes roseus","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae","Rhodoplanes",,"Deprecated","DSM 5909",,,,,,,,,,,,,,,,,"DSM:5909",,,"Poor","2018-06-20T00:00:00Z",,,"PRJNA396228","SAMN07424630","GCA_003258865.1",,"NPEX00000000","Indiana University","WGS","Illumina NextSeq","308.08x","SPAdes v. 3.9.1",,,1040,6879536,69.34636,103,19390,48,,,7237,95.3,86.9,12.7,99.6,"Too many contigs",,,,,,,,,,,,,,,,,,,"sample_type:cell culture","Genome sequencing of Rhodoplanes roseus DSM 5909 for phylogenetic analysis of purple nonsulfur bacteria.","2018-07-16T09:08:44.240Z","2018-07-16T09:08:44.240Z"
