Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"1079.13","Blastochloris viridis strain ATCC 19567",,1079,"131567;2;1224;28211;356;2831090;59282;1079","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Blastochloridaceae;Blastochloris;Blastochloris viridis","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Blastochloridaceae","Blastochloris",,"Complete","ATCC 19567",,,,,,,,,,,,,,,,,"ATCC 19567",,"Representative","Good","2015-10-22T00:00:00Z",,,"PRJNA297399","SAMN04123293","GCA_001402875.1",,"CP012946","Institute for Basic Science","Complete","PacBio","226x","HGAP v. 3",,,1,3724841,67.93294,1,3724841,53,9,,3488,96.7,95.1,,,,"freshwater river biome",,"1966",1966,,"Germany","Europe","Germany: Dreisam River",,,,,,,,,,,"sample_type:Single cell","Blastochloris viridis ATCC19567 whole genome sequencing","2019-07-15T20:34:38.192Z","2019-07-15T20:34:38.192Z"
"1079.14","Blastochloris viridis strain 1",,1079,"131567;2;1224;28211;356;2831090;59282;1079","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Blastochloridaceae;Blastochloris;Blastochloris viridis","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Blastochloridaceae","Blastochloris",,"Complete","1",,,,,,,,,,,,,,,,,"DSM 133",,,"Good","2015-11-19T00:00:00Z",,,"PRJEB11490","SAMEA3632277","GCA_001459775.1",,"LN907867","UNIVERSITY OF LIVERPOOL","Complete",,,,,,1,3723225,67.93243,1,3723225,53,9,,3487,96.7,95.1,,,,,,,,,,,,,,,,,,,,,,,"Blastochloris viridis is a unique anaerobic, phototrophic purple bacterium that produces bacteriochlorophyll b. This study provides a complete genome sequence of Blastochloris viridis DSM133, which is instrumental to the studies of photosynthesis, metabolic versatility and genetic engineering of this microorganism.;Purple Photosynthetic Bacterium","2019-07-15T20:34:36.232Z","2019-07-15T20:34:36.232Z"
"1079.15","Blastochloris viridis strain DSM 133",,1079,"131567;2;1224;28211;356;2831090;59282;1079","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Blastochloridaceae;Blastochloris;Blastochloris viridis","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Blastochloridaceae","Blastochloris",,"Complete","DSM 133",,,,,,,,,,,,,,,,,,,,"Good","2016-02-24T00:00:00Z","26337894",,"PRJDB3853","SAMD00029041","GCA_001548155.2",,"AP014854","Tokyo Institute of Technology","Complete","MiSeq","108x","GS De Novo Assembler v. 2.9",,,1,3726627,67.93291,1,3726627,49,6,,3530,96.7,95.1,,,,,,"1966",1966,,"Germany","Europe","Germany: Dreisam River",,,,,,,,,,,,"We determined complete genome sequence of Blastochloris viridis, which will facilitate the research of chlorophyll synthetic pathway of this photosynthetic bacterium.","2019-07-15T20:32:31.577Z","2019-07-15T20:32:31.577Z"
"1079.16","Blastochloris viridis strain S2_018_000_R2_106",,1079,"131567;2;1224;28211;356;2831090;59282;1079","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Blastochloridaceae;Blastochloris;Blastochloris viridis","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Blastochloridaceae","Blastochloris",,"WGS","S2_018_000_R2_106",,,,,,,,,,,,,,,,,,,,"Good","2019-05-14T00:00:00Z","28232747",,"PRJNA376580","SAMN07426606","GCA_005768725.1",,"VAFM00000000","Banfield Lab","WGS","Illumina HiSeq","181.38x","IDBA_UD v. 06.01.2014s",,,10,1710824,56.6157,1,1023757,44,3,,1820,92.5,91.9,,,,"hospital NICU surfaces and sink samples",,"2014",2014,,"USA","North America","USA: Pittsburgh, Pennsylvania Magee Womens Hospital",,,,,,,,,,,"sample_type:metagenomic assembly","This data was generated to recover genomes from hospital (NICU) surfaces and sinks.","2019-07-15T20:32:13.891Z","2019-07-15T20:32:13.891Z"
"2066513.3","Blastochloris sp. strain SM1_596_0",,2066513,"131567;2;1224;28211;356;2831090;59282;2649271;2066513","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Blastochloridaceae;Blastochloris;unclassified Blastochloris;Blastochloris sp.","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Blastochloridaceae","Blastochloris",,"WGS","SM1_596_0",,,,,,,,,,,,,,,,,,,,"Good","1900-01-01T00:00:00Z",,,"PRJNA612530","SAMN14376567","GCA_012031345.1",,"JAAUTS000000000","University of Wisconsin, Madison","WGS","IonTorrent","24.56x","SPAdes v. 3.12.0",,,236,3177019,54.597565,59,17071,39,1,,4183,91.4,84.8,,,,"Stromatolite",,"2018-04",2018,,"South Africa","Africa","South Africa:Schoenmakerskop",,,,,,,,,,,"sample_type:metagenomic assembly","A comparative investigation of two geographically distinct South African peritidal stromatolite systems to identify key bacterial species responsible for accretion/formation.","2020-04-12T07:29:20.002Z","2020-04-12T07:29:20.002Z"
"2066513.4","Blastochloris sp. strain SM1_967_5",,2066513,"131567;2;1224;28211;356;2831090;59282;2649271;2066513","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Blastochloridaceae;Blastochloris;unclassified Blastochloris;Blastochloris sp.","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Blastochloridaceae","Blastochloris",,"WGS","SM1_967_5",,,,,,,,,,,,,,,,,,,,"Poor","1900-01-01T00:00:00Z",,,"PRJNA612530","SAMN14376572","GCA_012031675.1",,"JAAUTX000000000","University of Wisconsin, Madison","WGS","IonTorrent","12.86x","SPAdes v. 3.12.0",,,188,934378,65.16249,65,4986,14,,,1139,85.8,84.8,,,"Low contig N50","Stromatolite",,"2018-04",2018,,"South Africa","Africa","South Africa:Schoenmakerskop",,,,,,,,,,,"sample_type:metagenomic assembly","A comparative investigation of two geographically distinct South African peritidal stromatolite systems to identify key bacterial species responsible for accretion/formation.","2020-04-12T07:29:51.563Z","2020-04-12T07:29:51.563Z"
"2066513.5","Blastochloris sp. strain RM1_3_16",,2066513,"131567;2;1224;28211;356;2831090;59282;2649271;2066513","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Blastochloridaceae;Blastochloris;unclassified Blastochloris;Blastochloris sp.","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Blastochloridaceae","Blastochloris",,"WGS","RM1_3_16",,,,,,,,,,,,,,,,,,,,"Poor","1900-01-01T00:00:00Z",,,"PRJNA612530","SAMN14376491","GCA_012033475.1",,"JAAUQU000000000","University of Wisconsin, Madison","WGS","IonTorrent","5.12x","SPAdes v. 3.12.0",,,740,3808293,57.65347,210,4589,41,1,,5388,84,80.9,,,"Low contig N50;Too many hypothetical CDS","Stromatolite",,"2018-04",2018,,"South Africa","Africa","South Africa:Cape Recife",,,,,,,,,,,"sample_type:metagenomic assembly","A comparative investigation of two geographically distinct South African peritidal stromatolite systems to identify key bacterial species responsible for accretion/formation.","2020-04-12T08:18:13.480Z","2020-04-12T08:18:13.480Z"
"2066513.6","Blastochloris sp. MP7G1.168",,2066513,"131567;2;1224;28211;356;2831090;59282;2649271;2066513","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Blastochloridaceae;Blastochloris;unclassified Blastochloris;Blastochloris sp.","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Blastochloridaceae","Blastochloris",,"WGS","MP7G1.168",,,,,,,,,,,,,,,,,,,,"Good","2023-12-15T00:00:00Z",,,"PRJNA675123","SAMN38186905",,,"JAWXBW000000000",,,"Illumina","17.4x","MEGAHIT v. 1.9.6",,,74,2403866,47.450397,16,47874,40,1,,2440,91.4,90.6,,100,,"oligotrophic lake microbial mat",,"2013-01-01",2013,,"Antarctica","Antarctica","Antarctica: Lake Vanda, McMurdo Dry Valleys",,,,,,,,,,,"sample_type:metagenomic assembly",,"2024-01-31T18:44:28.572Z","2024-01-31T18:44:28.572Z"
"2233851.3","Blastochloris sp. GI",,2233851,"131567;2;1224;28211;356;2831090;59282;2233851","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Blastochloridaceae;Blastochloris;Blastochloris tepida","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Blastochloridaceae","Blastochloris",,"Complete","GI",,,,,,,,,,,,,,,,,,,"Representative","Good","2018-08-29T00:00:00Z",,,"PRJDB7143","SAMD00131669","GCA_003966715.1",,"AP018907","National Institute of Genetics","Complete","PacBio Sequel","50x","HGAP v. 3",,,1,3949390,68.3043,,3949390,53,6,,3793,96.8,94.9,,,,"Soda dam hot springs",,"1987-06-22",1987,,"USA","North America","USA:New Mexico, Soda Dam Hot Springs","temperature:47",,,,,,,,,,,"A complete genome sequence of Blastochloris tepida was obtained using the PacBio sequencer. This study describes Blastochloris tepida as a new species of the Blastochloris genus.","2019-01-31T18:27:06.492Z","2019-01-31T18:27:06.492Z"
"50712.4","Blastochloris sulfoviridis strain DSM 729",,50712,"131567;2;1224;28211;356;2831090;59282;50712","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Blastochloridaceae;Blastochloris;Blastochloris sulfoviridis","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Blastochloridaceae","Blastochloris",,"WGS","DSM 729",,,,,,,,,,,,,,,,,"DSM:729",,"Representative","Good","2019-09-20T00:00:00Z",,,"PRJNA564448","SAMN12713635","GCA_008630065.1",,"VWPL00000000","Bellevue University","WGS","Illumina MiniSeq","35.0x","Spades de novo v. 3.10.0",,,91,3845334,68.13148,12,108240,46,1,,3759,96.6,94.6,,,,"sulfur spring","isolated as Rhodopseudomonas sulfoviridis from a sulfur spring in the former Soviet Union","1975",1975,,"Russia","Europe","Russia",,,,,,,,,,,"sample_type:Purified culture;biomaterial_provider:DSMZ;collected_by:Keppen and Gorlenko","Blastochloris sulfoviridis is a bacterium from the genus of Blastochloris which uses sulfur compounds as energy sources. Blastochloris sulfoviridis was originally isolated as Rhodopseudomonas sulfoviridis from a sulfur spring in the former Soviet Union.","2019-10-02T10:57:42.403Z","2019-10-02T10:57:42.403Z"
