Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"1154769.3","Rubrivivax gelatinosus CBS",,1154769,"131567;2;1224;28216;80840;2975441;28067;28068;1154769","cellular organisms;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Rubrivivax;Rubrivivax gelatinosus;Rubrivivax gelatinosus CBS","Bacteria",,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Sphaerotilaceae","Rubrivivax","Rubrivivax gelatinosus","WGS","CBS",,,,,,,,,,,,,,,,," ",,,"Poor","2012-03-30T00:00:00Z","22628496",,"PRJNA85569","SAMN02470550","GCA_000257145.1",,"AJFF00000000","Michigan State University","WGS",,,,,,1219,5010880,70.7,144,9058,45,3,,4474,96.1,94.2,0.1,100,"Too many contigs","soil",,,,,"USA","North America","USA: Colorado",,,,,,,,,,,,"Rubrivivax gelatinosus CBS, a purple non-sulfur photosynthetic bacterium, can grow photosynthetically using CO and N2 as the sole carbon and nitrogen nutrients, respectively.  R. gelatinosus CBS is of particular interest due to its ability to metabolize CO and yield H2.   ","2014-12-08T22:12:45.017Z","2015-03-16T03:17:09.594Z"
"1660138.3","Rubrivivax sp. SCN 71-131",,1660138,"131567;2;1224;28216;80840;2975441;28067;2649762;1660138","cellular organisms;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Rubrivivax;unclassified Rubrivivax;Rubrivivax sp. SCN 71-131","Bacteria",,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Sphaerotilaceae","Rubrivivax",,"WGS","SCN 71-131",,,,,,,,,,,,,,,,,,,,"Good","2016-09-13T00:00:00Z","26031303",,"PRJNA279279","SAMN03652479","GCA_001724995.1",,"MEFD00000000","Banfield Lab, University of California, Berkeley","WGS","Illumina HiSeq2000","127.39x","idba_ud v. 1.1",,,43,3916131,70.78,9,160329,42,,,3720,94.4,93.3,,100,,"Cyanide and thiocyanate bioreactor",,"2012-10",2012,,"South Africa","Africa","South Africa: University of Cape Town, Rondebosch",,,,,,,,,,,,"Gold mining and other industrial activities make extensive use of cyanide (CN-) and produce large volumes of thiocyanate- (SCN-) contaminated wastewater that must be treated before reuse in mining processes. Furthermore, contaminated wastewater stored in tailings dams may pose an environmental threat through the potential for leakage into local groundwater. Microbial communities are often used for biodegradation and environmental remediation, however, little is known about the membership and metabolic potential of SCN-degrading consortia. Application and improvement of the remediation strategy will benefit from an understanding of organisms that can contribute to the breakdown of SCN- into sulfur, carbon and nitrogen compounds. To this end, we performed metagenomic analysis of samples from two laboratory-scale bioreactors used to study SCN- and CN- degradation by established microbial consortia. Community analysis revealed the dominance of Thiobacillus spp. whose genomes harbor a previously unreported operon for SCN- degradation. Metabolic predictions suggest that a large portion of each bioreactor community is autotrophic, relying not on molasses in reactor feed, but using energy gained from oxidation of the sulfur compounds produced during SCN- degradation. Heterotrophs compose a smaller portion of the reactor bacterial community, and predation by phage and eukaryotes is predicted to affect community dynamics. Furthermore, genes for ammonium oxidation and denitrification were detected, possibly allowing removal of nitrogen as required for complete remediation of wastewater. These findings suggest possible optimization strategies for reactor design such as improved aerobic/anaerobic partitioning and elimination of organic carbon from reactor feed.;derived from metagenome","2016-11-16T07:04:03.557Z","2016-11-16T07:04:03.557Z"
"1660139.3","Rubrivivax sp. SCN 70-15",,1660139,"131567;2;1224;28216;80840;2975441;28067;2649762;1660139","cellular organisms;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Rubrivivax;unclassified Rubrivivax;Rubrivivax sp. SCN 70-15","Bacteria",,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Sphaerotilaceae","Rubrivivax",,"WGS","SCN 70-15",,,,,,,,,,,,,,,,,,,,"Good","2016-09-13T00:00:00Z","26031303",,"PRJNA279279","SAMN03652516","GCA_001725505.1",,"MEGM00000000","Banfield Lab, University of California, Berkeley","WGS","Illumina HiSeq2000","15.43x","idba_ud v. 1.1",,,267,4027625,70.4,78,17551,35,,,4193,90.9,87.1,7.4,89.3,,"Thiocyanate bioreactor",,"2012-10",2012,,"South Africa","Africa","South Africa: University of Cape Town, Rondebosch",,,,,,,,,,,,"Gold mining and other industrial activities make extensive use of cyanide (CN-) and produce large volumes of thiocyanate- (SCN-) contaminated wastewater that must be treated before reuse in mining processes. Furthermore, contaminated wastewater stored in tailings dams may pose an environmental threat through the potential for leakage into local groundwater. Microbial communities are often used for biodegradation and environmental remediation, however, little is known about the membership and metabolic potential of SCN-degrading consortia. Application and improvement of the remediation strategy will benefit from an understanding of organisms that can contribute to the breakdown of SCN- into sulfur, carbon and nitrogen compounds. To this end, we performed metagenomic analysis of samples from two laboratory-scale bioreactors used to study SCN- and CN- degradation by established microbial consortia. Community analysis revealed the dominance of Thiobacillus spp. whose genomes harbor a previously unreported operon for SCN- degradation. Metabolic predictions suggest that a large portion of each bioreactor community is autotrophic, relying not on molasses in reactor feed, but using energy gained from oxidation of the sulfur compounds produced during SCN- degradation. Heterotrophs compose a smaller portion of the reactor bacterial community, and predation by phage and eukaryotes is predicted to affect community dynamics. Furthermore, genes for ammonium oxidation and denitrification were detected, possibly allowing removal of nitrogen as required for complete remediation of wastewater. These findings suggest possible optimization strategies for reactor design such as improved aerobic/anaerobic partitioning and elimination of organic carbon from reactor feed.;derived from metagenome","2016-11-16T07:26:12.806Z","2016-11-16T07:26:12.806Z"
"1862385.4","Ideonella sp. KYPY4",,1862385,"131567;2;1224;28216;80840;2975441;28067;1862385","cellular organisms;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Rubrivivax;Rubrivivax rivuli","Bacteria",,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Sphaerotilaceae","Rubrivivax",,"WGS","KYPY4",,,,,,,,,,,,,,,,,,,"Representative","Good","2019-01-08T00:00:00Z",,,"PRJNA512508","SAMN10685154","GCA_004016505.1",,"SACR00000000","National Kaohsiung University of Science and Technology","WGS","Illumina NextSeq","410.26x","SPAdes v. December-2018",,,31,4929098,70.045044,2,850426,48,1,,4355,96,93.9,,,,"water",,"2016-06-18",2016,,"Taiwan","Asia","Taiwan",,,,,,,,,,,"sample_type:cell culture","Ideonella sp. KYPY4","2019-02-01T06:21:03.062Z","2019-02-01T06:21:03.062Z"
"2315236.19","Aquabacterium pictum RJY3",,2315236,"131567;2;1224;28216;80840;2975441;28067;2315236","cellular organisms;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Rubrivivax;Rubrivivax pictus","Bacteria",,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Sphaerotilaceae","Rubrivivax",,"WGS","RJY3",,,,,,,,,,,,,,,,,,,,"Good","2023-06-05T00:00:00Z",,,"PRJNA942494","SAMN33693482",,,"JARGNB000000000",,,"MiSeq","144.0x","SPAdes v. 3.13.0",,,44,7386564,70.64267,3,601538,74,6,,6689,95.7,92.2,3.8,97.3,,"soil",,"2020-06",2020,,"South Korea","Asia","South Korea",,,,,,,,,,,,,"2023-07-14T14:05:05.155Z","2023-07-14T14:05:05.155Z"
"2315236.5","Aquabacterium sp. W35",,2315236,"131567;2;1224;28216;80840;2975441;28067;2315236","cellular organisms;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Rubrivivax;Rubrivivax pictus","Bacteria",,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Sphaerotilaceae","Rubrivivax",,"WGS","W35",,,,,,,,,,,,,,,,,"NBRC:1011963",,"Representative","Good","2019-03-14T00:00:00Z",,,"PRJDB7996","SAMD00161080","GCA_005403045.1",,"BJCL00000000","Biological Sciences, Tokyo Metropolitan University","WGS","Illumina Miseq","229x","SPAdes v. 3.7.1",,,64,6136994,70.48262,6,327274,49,3,,5589,,,,,,"biofilm sampled at Tama River","isolated from a biofilm sampled at Tama River in Japan","2012-02-20",2012,,"Japan","Asia","Japan:Tokyo, Ome, Tama River",,,,,,,,,,,,"A novel aerobic bacteriochlorophyll a-containing bacterium, Aquabacterium pictum W35 was isolated from a biofilm sampled at Tama River in Japan. The isolate was the first bacteriochlorophyll a-containing bacterium in the genus Aquabacterium. To understand the metabolic potential and phylogenetic position of strain W35, we performed whole genome analysis.","2019-07-20T14:34:13.098Z","2019-07-20T14:34:13.098Z"
"2499835.7","Rubrivivax sp. ICH-3",,2499835,"131567;2;1224;28216;80840;2975441;28067;2499835","cellular organisms;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Rubrivivax;Rubrivivax albus","Bacteria",,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Sphaerotilaceae","Rubrivivax",,"WGS","ICH-3",,,,,,,,,,,,,,,,,,,"Representative","Good","2019-01-08T00:00:00Z",,,"PRJNA512434","SAMN10667466","GCA_004016515.1",,"SACT00000000","National Kaohsiung University of Science and Technology","WGS","Illumina NextSeq","425.0x","SPAdes v. December-2018",,,74,5310361,70.2704,2,537652,44,1,,5032,95.3,92.8,,,,"water",,"2017-09",2017,,"Taiwan","Asia","Taiwan",,,,,,,,,,,"sample_type:cell culture","Rubrivivax sp. strain ICH-3","2019-02-01T06:20:56.512Z","2019-02-01T06:20:56.512Z"
"2710888.3","Rubrivivax sp. JA1026",,2710888,"131567;2;1224;28216;80840;2975441;28067;2649762;2710888","cellular organisms;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Rubrivivax;unclassified Rubrivivax;Rubrivivax sp. JA1026","Bacteria",,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Sphaerotilaceae","Rubrivivax",,"WGS","JA1026",,,,,,,,,,,,,,,,,,,,"Good","2020-03-06T00:00:00Z",,,"PRJNA607423","SAMN14132434","GCA_011065555.1",,"JAALCQ000000000","JNTUH","WGS","Illumina HiSeqX10","100.0x","Unicycler v. QUAST 4.0",,,30,4223816,71.568695,4,330791,44,3,,3956,97,95.7,,,,"freshwater",,"2018-12-25",2018,,"India","Asia","India: Thirumallaivasal, Tamilnadu",,,,,,,,,,,"sample_type:water","Rubrivivax sp. JA1026","2020-03-27T14:55:41.651Z","2020-03-27T14:55:41.651Z"
"2772301.3","Rubrivivax sp. A210",,2772301,"131567;2;1224;28216;80840;2975441;28067;2649762;2772301","cellular organisms;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Rubrivivax;unclassified Rubrivivax;Rubrivivax sp. A210","Bacteria",,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Sphaerotilaceae","Rubrivivax",,"WGS","A210",,,,,,,,,,,,,,,,,,,,"Good","2020-10-10T00:00:00Z",,,"PRJEB40009","SAMEA7318925","GCA_904426505.1",,"CAJGBN000000000","TU Berlin","WGS",,,,,,72,5371534,69.540245,5,327374,53,3,,4991,95.9,94,,,,,,,,,,,,,,,,,,,,,,,"Genomic analysis of the draft genome sequence of two manganese-oxidizing bacteria with the ability to transform cylindrospermopsin.","2020-12-01T01:20:23.871Z","2020-12-01T01:20:23.871Z"
"28068.10","Rubrivivax gelatinosus strain DSM 1709",,28068,"131567;2;1224;28216;80840;2975441;28067;28068","cellular organisms;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Rubrivivax;Rubrivivax gelatinosus","Bacteria",,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Sphaerotilaceae","Rubrivivax",,"WGS","DSM 1709",,,,,,,,,,,,,,,,,"DSM:1709",,"Representative","Good","2019-03-11T00:00:00Z",,,"PRJNA520326","SAMN10866383","GCA_004340905.1",,"SLXD00000000","DOE Joint Genome Institute","WGS","Illumina","295.0x","SPAdes v. 3.12.0",,,36,5075359,71.43607,7,271815,47,1,,4801,99,97.5,,,,,,,,,,,,,,,,,,,,,,,"Genome sequencing as part of The One Thousand Microbial Genomes Phase 4 (KMG IV) project","2019-07-17T01:59:58.970Z","2019-07-17T01:59:58.970Z"
