Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"1052.12","Halorhodospira halochloris strain DSM 1059",,1052,"131567;2;1224;1236;135613;72276;85108;1052","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Halorhodospira;Halorhodospira halochloris","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Halorhodospira",,"Deprecated","DSM 1059",,,,,,,,,,,,,,,,,"DSM:1059",,,"Good","1900-01-01T00:00:00Z",,,"PRJNA387386","SAMN07534994","GCA_016583605.1",,"NRRM00000000","GEOMAR Helmholtz Centre for Ocean Research Kiel","WGS","Illumina MiSeq","168x","SPAdes v. 3.10.1",,,85,2791376,56.03531,5,148030,44,3,,2752,95.4,94.7,,,,"soda lake",,"1975",1975,,"Egypt","Africa","Egypt: Wadi Natrun",,,,,,,,,,,"sample_type:cell culture","Sequencing and assembly of draft genomes of cultured anoxygenic phototrophic bacteria","2021-02-01T04:41:02.887Z","2021-02-01T04:41:02.887Z"
"1052.16","Halorhodospira halochloris 9852",,1052,"131567;2;1224;1236;135613;72276;85108;1052","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Halorhodospira;Halorhodospira halochloris","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Halorhodospira",,"WGS","9852",,,,,,,,,,,,,,,,,,,,"Good","2022-02-15T00:00:00Z",,,"PRJNA784592","SAMN23493031","GCA_022227865.1",,"JAJNRB000000000",,"WGS","Illumina MiniSeq","91.0x","Unicycler v. Sept-2020",,,188,2888425,56.14347,12,65787,45,3,,2879,95.3,94.3,,,,"saline lake",,"2001",2001,,"Egypt","Africa","Egypt: Wadi Natrun",,,,,,,,,,,"sample_type:purified culture;biomaterial_provider:Dr. Johannes Imhoff, GEOMAR Helmholtz Zentrum fur Ozeanforschung Kiel Dusternbrooker Weg 20 D-24105 Kiel, Germany;collected_by:Dr. Johannes Imhoff",,"2022-02-27T05:20:03.698Z","2022-02-27T05:20:03.698Z"
"1052.17","Halorhodospira halochloris 9851",,1052,"131567;2;1224;1236;135613;72276;85108;1052","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Halorhodospira;Halorhodospira halochloris","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Halorhodospira",,"WGS","9851",,,,,,,,,,,,,,,,,,,,"Good","2022-02-15T00:00:00Z",,,"PRJNA784590","SAMN23492966","GCA_022229325.1",,"JAJNRA000000000",,"WGS","Illumina MiniSeq","136.0x","Unicycler v. Dec-2019",,,141,2883546,56.06146,9,113162,46,3,,2643,95.4,94.6,,,,"saline lake",,"2002",2002,,"Egypt","Africa","Egypt: Wadi Natrun",,,,,,,,,,,"sample_type:saline lake;biomaterial_provider:Dr. Johannes Imhoff, GEOMAR Helmholtz Zentrum fur Ozeanforschung Kiel Dusternbrooker Weg 20 D-24105 Kiel, Germany;collected_by:Dr. Johannes Imhoff",,"2022-02-27T05:27:13.141Z","2022-02-27T05:27:13.141Z"
"1052.19","Halorhodospira halochloris DSM 1059",,1052,"131567;2;1224;1236;135613;72276;85108;1052","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Halorhodospira;Halorhodospira halochloris","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Halorhodospira",,"Complete","DSM 1059",,,,,,,,,,,,,,,,,"DSM:1059",,"Representative","Good","2018-05-19T00:00:00Z",,,"PRJDB4565","SAMD00046889","GCA_002356555.2",,"AP017372",,,"PacbioRSII; Miseq","148x","HGAP protocol 3; pilon v1.22",,,1,2834560,56.027954,1,2834560,47,6,,2719,94.9,94.2,,99.4,,,,"1977",1977,,"Egypt","Africa","Egypt:Wadi Natrun",,,,,,,,,,,,,"2022-11-30T21:05:29.418Z","2022-11-30T21:05:29.418Z"
"1052.21","Halorhodospira halochloris DSM 1059",,1052,"131567;2;1224;1236;135613;72276;85108;1052","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Halorhodospira;Halorhodospira halochloris","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Halorhodospira","Halorhodospira halochloris","WGS","DSM 1059",,,,,,,,,,,,,,,,,"DSM:1059",,,"Good","2021-01-08T00:00:00Z","33375353",,"PRJNA387386","SAMN07534994",,,"NRRM00000000",,,"Illumina MiSeq","168x","SPAdes v. 3.10.1",,,85,2791376,56.03531,5,148030,44,3,,2752,95.4,94.7,0.6,99.4,,"soda lake",,"1975",1975,,"Egypt","Africa","Egypt: Wadi Natrun",,"Not applicable",,,,,,,,,"sample_type:cell culture",,"2024-02-12T14:41:17.452Z","2024-02-12T14:41:17.452Z"
"1052.8","Halorhodospira halochloris strain DSM-1059 strain DSM 1059",,1052,"131567;2;1224;1236;135613;72276;85108;1052","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Halorhodospira;Halorhodospira halochloris","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Halorhodospira",,"Deprecated","DSM 1059",,,,,,,,,,,,,,,,,"DSM 1059",,,"Good","2016-02-19T00:00:00Z",,,"PRJDB4565","SAMD00046889","GCA_002356555.1",,"AP017372","Environment and Life Sciences, Toyohashi University of Technology","Complete","MiSeq","123x","GS De Novo Assembler v. 2.9",,,1,2819782,55.84,1,2819782,46,4,,2699,94.4,93.7,,99,,,,"1977",1977,,"Egypt","Africa","Egypt:Wadi Natrun","env_biome:mud",,,,,,,,,,,"We determined near complete genome sequence of a purple sulfur bacterium Halorhodospira halochloris DSM 1059, which produces bacteriochlorophyll b.","2017-11-23T01:50:03.154Z","2017-11-23T01:50:03.154Z"
"1053.19","Halorhodospira halophila strain IM 9630",,1053,"131567;2;1224;1236;135613;72276;85108;1053","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Halorhodospira;Halorhodospira halophila","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Halorhodospira",,"Deprecated","IM 9630",,,,,,,,,,,,,,,,,,,,"Good","1900-01-01T00:00:00Z",,,"PRJNA387386","SAMN07535014","GCA_016583685.1",,"NRRO00000000","GEOMAR Helmholtz Centre for Ocean Research Kiel","WGS","Illumina MiSeq","220x","SPAdes v. 3.10.1",,,45,2682090,67.948715,5,193051,46,,,2533,99.6,98.9,,,,"soda lake",,"1976",1976,,"Egypt","Africa","Egypt: Wadi Natrun",,,,,,,,,,,"sample_type:cell culture","Sequencing and assembly of draft genomes of cultured anoxygenic phototrophic bacteria","2021-02-01T04:40:17.403Z","2021-02-01T04:40:17.403Z"
"1053.20","Halorhodospira halophila strain IM9620",,1053,"131567;2;1224;1236;135613;72276;85108;1053","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Halorhodospira;Halorhodospira halophila","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Halorhodospira",,"WGS","IM9620",,,,,,,,,,,,,,,,,,,,"Good","1900-01-01T00:00:00Z","33375353",,"PRJNA387386","SAMN07156357","GCA_016653275.1",,"NHSE00000000","GEOMAR Helmholtz Centre for Ocean Research Kiel","WGS","Illumina MiSeq","49x","SPAdes v. 3.10.1",,,99,2703685,68.427536,14,68270,38,1,,2600,99.2,98.3,,,,"soda lake",,"1975",1975,,"Egypt","Africa","Egypt: Wadi Natrun",,,,,,,,,,,"sample_type:cell culture","Sequencing and assembly of draft genomes of cultured anoxygenic phototrophic bacteria","2021-02-01T06:11:47.430Z","2021-02-01T06:11:47.430Z"
"1053.21","Halorhodospira halophila strain IM9626",,1053,"131567;2;1224;1236;135613;72276;85108;1053","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Halorhodospira;Halorhodospira halophila","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Halorhodospira",,"WGS","IM9626",,,,,,,,,,,,,,,,,,,,"Good","1900-01-01T00:00:00Z","33375353",,"PRJNA387386","SAMN07156348","GCA_016653405.1",,"NHSN00000000","GEOMAR Helmholtz Centre for Ocean Research Kiel","WGS","Illumina MiSeq","72x","SPAdes v. 3.10.1",,,45,2857375,68.17357,7,124309,45,2,,2720,99.5,98.9,,,,"soda lake",,"1976",1976,,"Egypt","Africa","Egypt: Wadi Natrun",,,,,,,,,,,"sample_type:cell culture","Sequencing and assembly of draft genomes of cultured anoxygenic phototrophic bacteria","2021-02-01T06:11:44.619Z","2021-02-01T06:11:44.619Z"
"1053.22","Halorhodospira halophila strain M39-5",,1053,"131567;2;1224;1236;135613;72276;85108;1053","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Halorhodospira;Halorhodospira halophila","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Halorhodospira",,"WGS","M39-5",,,,,,,,,,,,,,,,,,,,"Good","2021-11-03T00:00:00Z",,,"PRJNA758801","SAMN21168693",,,"JAJGAX000000000","Research Center of Biotechnology RAS","WGS","Illumina NextSeq","800.0x","SPAdes v. 3.14.1",,,127,2423574,68.916405,15,41377,41,1,,2342,99.6,98.2,,,,"enrichment culture from haloalkaline lake","isolated from the hypersaline alkaline Lake Hotontyn Nur (Mongolia)","2019",2019,,"Russia",,"Russia: Moscow, Lake Hotontyn Nur, Mongolia",,,,,,,,,,,"sample_type:metagenomic assembly","Cultivation of a vampire: 'Candidatus Absconditicoccus praedator'. We report the first stable cultivation of an association between the ultrasmall Candidate Phyla Radiation bacterium M39-6, which we named 'Ca. Absconditicoccus praedator', and its host Halorhodospira halophila M39-5, an obligately photosynthetic and anaerobic purple sulphur bacterium; we also carry out an in-depth characterization of their biology. Both were isolated from the hypersaline alkaline Lake Hotontyn Nur (Mongolia).","2021-11-30T19:53:34.944Z","2021-11-30T19:53:34.944Z"
