Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"1045867.3","Trichodesmium erythraeum GBRTRLIN201",,1045867,"131567;2;1783272;1798711;1117;3028117;1301283;1150;1892252;1205;1206;1045867","cellular organisms;Bacteria;Terrabacteria group;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Oscillatoriophycideae;Oscillatoriales;Microcoleaceae;Trichodesmium;Trichodesmium erythraeum;Trichodesmium erythraeum GBRTRLIN201","Bacteria",,"Cyanobacteriota","Cyanophyceae","Oscillatoriales","Microcoleaceae","Trichodesmium","Trichodesmium erythraeum","WGS","GBRTRLIN201",,,,,,,,,,,,,,,,,,,,"Good","2021-05-24T00:00:00Z",,,"PRJNA703412","SAMN18262562","GCA_018457135.1",,"JAGGDU000000000","University of Southern California","WGS","Illumina NovaSeq","26.6x","SPAdes v. 3.13.0",,,241,7221323,33.968845,39,57018,34,1,,8903,98.7,96.4,,,,"non-axenic enrichment culture inoculated with Trichodesmium trichomes collected from seawater; maintained in YBC-II_artificial_seawater; biomass sampled from culture in 2019-05 for DNA extraction",,"1997-08",1997,,"Australia","Oceania","Australia:Great Barrier Reef Lagoon",,,,,,,,,,,"sample_type:metagenomic assembly;sample_type:metagenomic assembly","In the surface waters of the warm, oligotrophic ocean, filaments and aggregated colonies of the nitrogen (N)-fixing cyanobacterium Trichodesmium create microscale nutrient-rich oases. These hotspots fuel primary productivity and harbor a diverse consortium of heterotrophs. Interactions with associated microbiota can affect the physiology of Trichodesmium, often in ways that have been predicted to support its growth. Recently, it was found that trimethylamine (TMA), a globally-abundant organic N compound, inhibits N2 fixation in cultures of Trichodesmium without impairing growth rate, suggesting that Trichodesmium receives nitrogen from TMA. In this study, 15N-DNA stable isotope probing (SIP) of a Trichodesmium enrichment was employed to further investigate TMA metabolism and determine if TMA-N is incorporated directly or secondarily via cross-feeding facilitated by microbial associates. We identify two members of the marine Roseobacter clade (MRC) of Alphaproteobacteria as the likely metabolizers of TMA, and provide genomic evidence that they converted TMA into a more readily available form of N, e.g., NH4+, which was subsequently used by Trichodesmium and the rest of the community. The results implicate microbiome-mediated carbon (C) and N transformations in modulating N2 fixation, and thus highlight the involvement of host-associated heterotrophs in global biogeochemical cycling.","2021-06-03T05:47:14.533Z","2021-06-03T05:47:14.533Z"
"1122180.13","Loktanella hongkongensis DSM 17492",,1122180,"131567;2;1224;28211;204455;31989;2211638;278132;1122180","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Limimaricola;Limimaricola hongkongensis;Limimaricola hongkongensis DSM 17492","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Limimaricola","Limimaricola hongkongensis","Plasmid","DSM 17492",,,,,,,,,,,,,,,,,"DSM:17492",,,,"2015-03-23T00:00:00Z",,,"PRJNA183668","SAMN02951862","GCA_000600975.2",,"APGJ00000000","Leibniz Institute DSMZ Braunschweig","Plasmid","SBS sequencing (Solexa Illumina); 454","132x","Velvet v. 1.0.18; Consed v. 20.0",,1,1,85337,70,,,,,,88,,,,,,"marine biofilm",,,,,"China","Asia","China",,,,,,,,,,,,"Sequencing of Loktanella hongkongensis, member of marine roseobacter group.","2017-12-29T18:02:56.611Z","2017-12-29T18:02:56.611Z"
"1122180.14","Loktanella hongkongensis DSM 17492",,1122180,"131567;2;1224;28211;204455;31989;2211638;278132;1122180","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Limimaricola;Limimaricola hongkongensis;Limimaricola hongkongensis DSM 17492","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Limimaricola","Limimaricola hongkongensis","Plasmid","DSM 17492",,,,,,,,,,,,,,,,,"DSM:17492",,,,"2015-03-23T00:00:00Z",,,"PRJNA183668","SAMN02951862","GCA_000600975.2",,"APGJ00000000","Leibniz Institute DSMZ Braunschweig","Plasmid","SBS sequencing (Solexa Illumina); 454","132x","Velvet v. 1.0.18; Consed v. 20.0",,1,1,103367,69.44,,,,,,92,,,,,,"marine biofilm",,,,,"China","Asia","China",,,,,,,,,,,,"Sequencing of Loktanella hongkongensis, member of marine roseobacter group.","2017-12-29T18:03:27.386Z","2017-12-29T18:03:27.386Z"
"1122180.6","Loktanella hongkongensis DSM 17492",,1122180,"131567;2;1224;28211;204455;31989;2211638;278132;1122180","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Limimaricola;Limimaricola hongkongensis;Limimaricola hongkongensis DSM 17492","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Limimaricola","Limimaricola hongkongensis","WGS","DSM 17492",,,,,,,,,,,,,,,,,"DSM:17492",,"Representative","Good","2015-03-23T00:00:00Z",,,"PRJNA183668","SAMN02951862","GCA_000600975.2",,"APGJ00000000","Leibniz Institute DSMZ Braunschweig","WGS","SBS sequencing (Solexa Illumina); 454","132x","Velvet v. 1.0.18; Consed v. 20.0",,2,8,3188840,68.33,2,750699,44,2,,3154,97.6,96.8,,100,,"marine biofilm",,,,,"China","Asia","China",,,,,,,,,,,,"Sequencing of Loktanella hongkongensis, member of marine roseobacter group.","2016-01-17T15:34:41.953Z","2016-01-17T15:34:41.953Z"
"1123069.3","Rubellimicrobium thermophilum DSM 16684",,1123069,"131567;2;1224;28211;204455;2854170;295418;295419;1123069","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Rubellimicrobium;Rubellimicrobium thermophilum;Rubellimicrobium thermophilum DSM 16684","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Rubellimicrobium","Rubellimicrobium thermophilum","Deprecated","DSM 16684",,,,,,,,,,,,,,,,," ",,,"Poor","2013-07-31T00:00:00Z",,,"PRJNA178147","SAMN02469744","GCA_000442315.1",,"AOLV00000000","Roseobacter SFB","WGS","SBS sequencing (Solexa Illumina); 454","203x","Velvet v. 1.0.18; Consed v. 20.0",,,43,3159235,69.2,7,132704,37,3,,3315,93.8,89.2,12.2,85.2,"High CheckM contamination score",,,,,,"Finland","Europe","Finland",,,,,,,,,,,,"Genome sequencing of roseobacter clade","2014-12-08T22:12:44.975Z","2015-03-16T03:17:09.594Z"
"1123360.3","Thalassobacter arenae DSM 19593",,1123360,"131567;2;1224;28211;204455;2854170;947567;491388;1123360","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Litoreibacter;Litoreibacter arenae;Litoreibacter arenae DSM 19593","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Litoreibacter","Litoreibacter arenae","Deprecated","DSM 19593",,,,,,,,,,,,,,,,,,,,"Good","2013-07-31T00:00:00Z",,,"PRJNA178144","SAMN02469745","GCA_000442275.1",,"AONI00000000","Roseobacter SFB","WGS","SBS sequencing (Solexa Illumina); 454","195x","Velvet v. 1.0.18; Consed v. 20.0",,,18,3687750,60.2,3,521529,42,3,,3647,97.9,97,,100,,,,,,,"South Korea","Asia","South Korea",,,,,,,,,,,,"Marine Genome Sequencing of roseobacter clade.","2014-12-08T22:13:40.788Z","2015-03-16T03:17:09.594Z"
"1123501.8","Wenxinia marina DSM 24838",,1123501,"131567;2;1224;28211;204455;2854170;653686;390641;1123501","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Wenxinia;Wenxinia marina;Wenxinia marina DSM 24838","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Wenxinia","Wenxinia marina","Plasmid","DSM 24838",,,,,,,,,,,,,,,,,"DSM:24838",,,,"2015-06-11T00:00:00Z",,,"PRJNA183669","SAMN03329042","GCA_000836695.1",,"AONG00000000","Leibniz Institute DSMZ Braunschweig","Plasmid","Illumina; 454 GS-FLX","365x","Velvet v. 1.0.18; Consed v. 20.0",,1,1,100000,70.69,,,,,,67,,,,,,,,,,,"China","Asia","China",,,,,,,,,,,,"Sequencing of Wenxinia marina, member of the marine roseobacter clade.","2017-12-29T18:04:45.456Z","2017-12-29T18:04:45.456Z"
"114847.10","uncultured Roseobacter sp. strain AG-891-A04",,114847,"131567;2;1224;28211;204455;2854170;2433;98187;114847","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Roseobacter;environmental samples;uncultured Roseobacter sp.","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Roseobacter",,"WGS","AG-891-A04",,,,,,,,,,,,,,,,,,,,"Poor","2019-10-30T00:00:00Z",,,"PRJEB33281","SAMEA6069415","GCA_902611395.1",,"CACLZJ000000000","WOODS HOLE OCEANOGRAPHIC INSTITUTION","WGS",,,,,,175,1914522,46.94305,27,19615,22,3,,2658,83.6,82.6,,,"Low Fine consistency score","marine water",,"2009-07-14",2009,,,,,,,,,,,,,,,,"Marine prokaryoplankton represent a complex, global microbiome that plays key roles in biogeochemistry and ocean ecosystem functioning. Yet their genomic composition remains poorly resolved. We employed randomized single cell genomics to recover 12,715 partial genomes from tropical and subtropical, photic ocean. Each sequenced cell was found to be genomically unique, implying limited clonality within prokaryoplankton populations. This genome collection enables accurate functional annotation and genus-level taxonomic assignments, thus offering a model of a reference genome database for complex microbiomes.","2019-11-26T12:24:11.481Z","2019-11-26T12:24:11.481Z"
"114847.11","uncultured Roseobacter sp. strain AG-891-D09",,114847,"131567;2;1224;28211;204455;2854170;2433;98187;114847","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Roseobacter;environmental samples;uncultured Roseobacter sp.","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Roseobacter",,"WGS","AG-891-D09",,,,,,,,,,,,,,,,,,,,"Poor","2019-10-30T00:00:00Z",,,"PRJEB33281","SAMEA6069464","GCA_902612375.1",,"CACMCY000000000","WOODS HOLE OCEANOGRAPHIC INSTITUTION","WGS",,,,,,82,1349046,48.234383,10,34110,26,3,,1597,84.2,83.4,,,"Low Fine consistency score","marine water",,"2009-07-14",2009,,,,,,,,,,,,,,,,"Marine prokaryoplankton represent a complex, global microbiome that plays key roles in biogeochemistry and ocean ecosystem functioning. Yet their genomic composition remains poorly resolved. We employed randomized single cell genomics to recover 12,715 partial genomes from tropical and subtropical, photic ocean. Each sequenced cell was found to be genomically unique, implying limited clonality within prokaryoplankton populations. This genome collection enables accurate functional annotation and genus-level taxonomic assignments, thus offering a model of a reference genome database for complex microbiomes.","2019-11-26T12:34:57.645Z","2019-11-26T12:34:57.645Z"
"114847.12","uncultured Roseobacter sp. strain AG-920-O19",,114847,"131567;2;1224;28211;204455;2854170;2433;98187;114847","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Roseobacter;environmental samples;uncultured Roseobacter sp.","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Roseobacter",,"WGS","AG-920-O19",,,,,,,,,,,,,,,,,,,,"Poor","2019-10-30T00:00:00Z",,,"PRJEB33281","SAMEA6075045","GCA_902621325.1",,"CACNLN000000000","WOODS HOLE OCEANOGRAPHIC INSTITUTION","WGS",,,,,,132,1706379,48.759975,20,21986,24,3,,2044,82.5,81.6,,,"Low Fine consistency score","marine water",,"2009-07-14",2009,,,,,,,,,,,,,,,,"Marine prokaryoplankton represent a complex, global microbiome that plays key roles in biogeochemistry and ocean ecosystem functioning. Yet their genomic composition remains poorly resolved. We employed randomized single cell genomics to recover 12,715 partial genomes from tropical and subtropical, photic ocean. Each sequenced cell was found to be genomically unique, implying limited clonality within prokaryoplankton populations. This genome collection enables accurate functional annotation and genus-level taxonomic assignments, thus offering a model of a reference genome database for complex microbiomes.","2019-11-26T14:02:25.718Z","2019-11-26T14:02:25.718Z"
