Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"1042.180","Erythrobacter sp. strain MED-G101",,1042,"131567;2;1224;28211;204457;335929;2800788;1041;2633097;1042","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter/Porphyrobacter group;Erythrobacter;unclassified Erythrobacter;Erythrobacter sp.","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Erythrobacter",,"WGS","MED-G101",,,,,,,,,,,,,,,,,,,,"Good","2019-02-19T00:00:00Z",,,"PRJNA352798","SAMN10841232","GCA_004213435.1",,"SGYY00000000","Universidad Miguel Hernandez","WGS","Illumina HiSeq","10x","IDBA_UD v. 1.1.1",,,4,2899456,64.49251,1,2007344,43,1,,2873,99,98.5,,,,"marine water",,"2015-10-15",2015,,"Spain","Europe","Spain: off the coast of Alicante",,,,,,,,,,,"sample_type:metagenomic assembly","Individual assembly of a collection of 24 metagenomes representing a broad range of geographical and ecological biomes from the Mediterranean Sea gave 1,323 viral genomic fragments longer than 10kb in length, of which 36 represented complete viral genomes. Samples analysed were taken from six sampling sites from the Eastern and Western Mediterranean and varied by depth (15 to 3,500 m), filter pore size, and season (stratified or mixed). Metagenomic datasets used are available under BioProjects accession number PRJNA352798 (Med-OCT2015-15m, Med-OCT2015-30m, Med-OCT2015-45m, Med-OCT2015-60m, Med-OCT2015-75m, Med-OCT2015-90m, Med-OCT2015-1000m and Med-OCT2015-2000m) and PRJNA257723 (MedDCM-JUL2012, MedDCM-SEP2013, MedDCM-SEP2013-LF, MedWinter-DEC2013-20m, Med-SEP2014-15m, Med-SEP2014-30m, MedDCM-SEP2014, MedWinter-JAN2015-20m, MedWinter-JAN2015-20m-LF, MedWinter-JAN2015-80m, MedWinter-JAN2015-Coastal and Med-SEP2015_HS).","2019-07-15T20:31:03.800Z","2019-07-15T20:31:03.800Z"
"1042.186","Erythrobacter sp. strain CG_2015-16_64_20",,1042,"131567;2;1224;28211;204457;335929;2800788;1041;2633097;1042","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter/Porphyrobacter group;Erythrobacter;unclassified Erythrobacter;Erythrobacter sp.","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Erythrobacter",,"WGS","CG_2015-16_64_20",,,,,,,,,,,,,,,,,,,,"Good","2020-01-29T00:00:00Z",,,"PRJNA405969","SAMN13287365","GCA_009993605.1",,"JAACTB000000000","DOE Joint Genome Institute","WGS","Illumina HiSeq","1x","IDBA-UD v. 1",,,29,2988900,63.958107,4,231171,42,2,,2952,97.3,96,,,,"subsurface aquifer",,"2015-05-27",2015,,"USA","North America","USA: Utah, Crystal Geyser near Green River",,,,,,,,,,,"sample_type:metagenomic assembly","High-throughput recovery of microbial communities from aquifer samples in Utah, USA","2020-04-11T21:19:01.097Z","2020-04-11T21:19:01.097Z"
"1042.187","Erythrobacter sp. strain CG_2015-16_65_24",,1042,"131567;2;1224;28211;204457;335929;2800788;1041;2633097;1042","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter/Porphyrobacter group;Erythrobacter;unclassified Erythrobacter;Erythrobacter sp.","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Erythrobacter",,"WGS","CG_2015-16_65_24",,,,,,,,,,,,,,,,,,,,"Good","2020-01-29T00:00:00Z",,,"PRJNA405969","SAMN13287366","GCA_009993635.1",,"JAACTC000000000","DOE Joint Genome Institute","WGS","Illumina HiSeq","1x","IDBA-UD v. 1",,,18,2918084,64.66211,3,424455,41,1,,2956,98.4,97.9,,,,"subsurface aquifer",,"2015-05-27",2015,,"USA","North America","USA: Utah, Crystal Geyser near Green River",,,,,,,,,,,"sample_type:metagenomic assembly","High-throughput recovery of microbial communities from aquifer samples in Utah, USA","2020-04-11T21:19:08.678Z","2020-04-11T21:19:08.678Z"
"1042.188","Erythrobacter sp. strain NP_1",,1042,"131567;2;1224;28211;204457;335929;2800788;1041;2633097;1042","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter/Porphyrobacter group;Erythrobacter;unclassified Erythrobacter;Erythrobacter sp.","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Erythrobacter",,"Complete","NP_1",,,,,,,,,,,,,,,,,,,,"Good","2020-03-29T00:00:00Z",,,"PRJNA611913","SAMN14352098","GCA_011765465.1",,"CP050265","Reliance Industries Limited","Complete","Oxford Nanopore","16.0x","canu v. 1.9",,,1,3303132,66.61644,1,3303132,44,1,,3221,97.6,96.4,,,,"algae culture media",,"2017-01",2017,,"India","Asia","India: Navi Mumbai",,,,,,,,,,,"sample_type:metagenomic assembly;collected_by:Bhaskar Bhadra;identified_by:Rahul Badhwar","The microbiota of sea water is rich and interdependent for the purpose of survival, and encapsulates various layers of reciprocal relations. This project was aimed to find such symbiotic relationship between micro flora and fauna of sea water.","2020-04-12T02:26:13.761Z","2020-04-12T02:26:13.761Z"
"1042.189","Erythrobacter sp. strain SW42617_bin_1",,1042,"131567;2;1224;28211;204457;335929;2800788;1041;2633097;1042","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter/Porphyrobacter group;Erythrobacter;unclassified Erythrobacter;Erythrobacter sp.","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Erythrobacter",,"WGS","SW42617_bin_1",,,,,,,,,,,,,,,,,,,,"Good","1900-01-01T00:00:00Z","31548681",,"PRJNA545004","SAMN12098034","GCA_012269825.1",,"JAAXJM000000000","Australian Centre for Ecogenomics","WGS","Illumina HiSeq","122x","SPAdes v. 3.9.067",,,189,3108834,61.064354,36,27874,33,,,3213,96.4,94.4,,,,"seawater",,"2015-04-25",2015,,"Australia","Oceania","Australia: Orpheus Island",,,,,,,,,,,"sample_type:Metagenome Assembled Genome","The goal of this project is to produce microbial metagenomes from corals to better understand how coral-associated microbes interact with their host.","2020-04-12T11:42:39.867Z","2020-04-12T11:42:39.867Z"
"1042.190","Erythrobacter sp. strain SW42615_bin_6",,1042,"131567;2;1224;28211;204457;335929;2800788;1041;2633097;1042","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter/Porphyrobacter group;Erythrobacter;unclassified Erythrobacter;Erythrobacter sp.","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Erythrobacter",,"WGS","SW42615_bin_6",,,,,,,,,,,,,,,,,,,,"Good","1900-01-01T00:00:00Z","31548681",,"PRJNA545004","SAMN12098033","GCA_012269915.1",,"JAAXJI000000000","Australian Centre for Ecogenomics","WGS","Illumina HiSeq","87x","SPAdes v. 3.9.067",,,534,2481780,61.208954,148,5273,31,2,,2936,93.4,88.6,,,,"seawater",,"2015-04-26",2015,,"Australia","Oceania","Australia: Orpheus Island",,,,,,,,,,,"sample_type:Metagenome Assembled Genome","The goal of this project is to produce microbial metagenomes from corals to better understand how coral-associated microbes interact with their host.","2020-04-12T11:42:42.348Z","2020-04-12T11:42:42.348Z"
"1042.191","Erythrobacter sp. strain SW22112_bin_10",,1042,"131567;2;1224;28211;204457;335929;2800788;1041;2633097;1042","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter/Porphyrobacter group;Erythrobacter;unclassified Erythrobacter;Erythrobacter sp.","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Erythrobacter",,"WGS","SW22112_bin_10",,,,,,,,,,,,,,,,,,,,"Good","1900-01-01T00:00:00Z","31548681",,"PRJNA545004","SAMN12098032","GCA_012270475.1",,"JAAXIG000000000","Australian Centre for Ecogenomics","WGS","Illumina HiSeq","55x","SPAdes v. 3.9.067",,,405,2939144,64.12061,80,11005,36,,,3232,94.7,88.6,,,,"seawater",,"2013-10-25",2013,,"Australia","Oceania","Australia: Orpheus Island",,,,,,,,,,,"sample_type:Metagenome Assembled Genome","The goal of this project is to produce microbial metagenomes from corals to better understand how coral-associated microbes interact with their host.","2020-04-12T11:53:13.906Z","2020-04-12T11:53:13.906Z"
"1042.192","Erythrobacter sp. strain SS_bin_114",,1042,"131567;2;1224;28211;204457;335929;2800788;1041;2633097;1042","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter/Porphyrobacter group;Erythrobacter;unclassified Erythrobacter;Erythrobacter sp.","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Erythrobacter",,"WGS","SS_bin_114",,,,,,,,,,,,,,,,,,,,"Good","2020-05-09T00:00:00Z",,,"PRJNA609151","SAMN14260576","GCA_013001185.1",,"JABDMZ000000000","Monash University","WGS","Illumina NextSeq","22.2783144872254x","Megahit v. 1.2.9",,,208,2239366,61.404434,42,16236,40,1,,2406,95.3,92.1,,,,"Beach sand",,"2017-01-19",2017,,"Australia","Oceania","Australia: Middle Park Beach, Port Phillip Bay",,,,,,,,,,,"sample_type:metagenomic assembly","8 metagenomes and 48 16S rRNA amplicon sequences from Middle Park Beach, Port Phillip Bay Permeable Sediment","2020-06-04T07:28:01.776Z","2020-06-04T07:28:01.776Z"
"1042.194","Erythrobacter sp. strain SS_bin_117",,1042,"131567;2;1224;28211;204457;335929;2800788;1041;2633097;1042","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter/Porphyrobacter group;Erythrobacter;unclassified Erythrobacter;Erythrobacter sp.","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Erythrobacter",,"WGS","SS_bin_117",,,,,,,,,,,,,,,,,,,,"Good","2020-05-09T00:00:00Z",,,"PRJNA609151","SAMN14260579","GCA_013001165.1",,"JABDNC000000000","Monash University","WGS","Illumina NextSeq","14.733181959945775x","Megahit v. 1.2.9",,,289,2561877,62.3528,65,11608,40,1,,2758,95,91,,,,"Beach sand",,"2017-01-19",2017,,"Australia","Oceania","Australia: Middle Park Beach, Port Phillip Bay",,,,,,,,,,,"sample_type:metagenomic assembly","8 metagenomes and 48 16S rRNA amplicon sequences from Middle Park Beach, Port Phillip Bay Permeable Sediment","2020-07-01T01:12:09.944Z","2020-07-01T01:12:09.944Z"
"1042.195","Erythrobacter sp. strain DT_30",,1042,"131567;2;1224;28211;204457;335929;2800788;1041;2633097;1042","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter/Porphyrobacter group;Erythrobacter;unclassified Erythrobacter;Erythrobacter sp.","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Erythrobacter",,"WGS","DT_30",,,,,,,,,,,,,,,,,,,,"Good","2020-06-02T00:00:00Z",,,"PRJNA482655","SAMN14675718","GCA_013214365.1",,"JABSPI000000000","University of Hawaii","WGS","Illumina NextSeq","0.4932275x","SPAdes v. 3.13.1",,,490,2629567,59.049263,111,7281,37,1,,3057,93.7,90.8,,,,"ocean water from marine abyssalpelagic zone",,"2014",2014,,"Pacific Ocean",,"Pacific Ocean: North Pacific Gyre, Station ALOHA",,,,,,,,,,,"sample_type:metagenomic assembly","Environmental genomic and transcriptomic sequences from microbial communities and eukaryotic biomass associated with sinking particles collected at abyssal depths (4000 m) in the North Pacific Subtropical Gyre.","2020-07-01T02:36:25.418Z","2020-07-01T02:36:25.418Z"
