Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"1054.16","Ectothiorhodospira shaposhnikovii strain DSM 243",,1054,"131567;2;1224;1236;135613;72276;1051;1054","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Ectothiorhodospira;Ectothiorhodospira shaposhnikovii","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Ectothiorhodospira",,"WGS","DSM 243",,,,,,,,,,,,,,,,,"DSM:243",,"Representative","Good","1900-01-01T00:00:00Z",,,"PRJNA387386","SAMN07535032","GCA_016584105.1",,"NRSM00000000","GEOMAR Helmholtz Centre for Ocean Research Kiel","WGS","Illumina MiSeq","160x","SPAdes v. 3.10.1",,,154,3788226,62.35182,12,109980,48,1,,3743,96,93.9,,,,,,,,,,,,,,,,,,,,,,"sample_type:cell culture","Sequencing and assembly of draft genomes of cultured anoxygenic phototrophic bacteria","2021-02-01T05:12:15.103Z","2021-02-01T05:12:15.103Z"
"1054.17","Ectothiorhodospira shaposhnikovii Beta1",,1054,"131567;2;1224;1236;135613;72276;1051;1054","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Ectothiorhodospira;Ectothiorhodospira shaposhnikovii","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Ectothiorhodospira",,"WGS","Beta1",,,,,,,,,,,,,,,,,,,,"Good","2022-02-15T00:00:00Z",,,"PRJNA782623","SAMN23390528","GCA_022227765.1",,"JAJMLZ000000000",,"WGS","Illumina MiniSeq","125.0x","Unicycler v. Dec-2019",,,40,3341893,63.425728,5,280447,47,3,,3117,95.7,94.4,,,,"saline lake",,"1981",1981,,"Jordan","Asia","Jordan: Azraq Lake",,,,,,,,,,,"sample_type:purified culture;biomaterial_provider:Dr. Johannes Imhoff, GEOMAR Helmholtz Zentrum fur Ozeanforschung Kiel Dusternbrooker Weg 20 D-24105 Kiel, Germany;collected_by:Dr. Johannes Imhoff;identified_by:Dr. Johannes Imhoff",,"2022-02-27T05:16:57.427Z","2022-02-27T05:16:57.427Z"
"1396821.4","Ectothiorhodospira marina strain DSM 241",,1396821,"131567;2;1224;1236;135613;72276;1051;1396821","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Ectothiorhodospira;Ectothiorhodospira marina","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Ectothiorhodospira",,"WGS","DSM 241",,,,,,,,,,,,,,,,,"DSM 241",,"Representative","Good","2016-10-29T00:00:00Z",,,"PRJEB16815","SAMN05444515","GCA_900109495.1","SRR4236212","FOAA00000000","DOE - JOINT GENOME INSTITUTE","WGS",,,,,,41,3185852,62.27,7,143237,44,3,,3059,94.8,93.9,,100,,,,,,,,,,,,,,,,,,,,,"Ectothiorhodospira marina DSM 241","2016-11-24T14:27:58.481Z","2016-11-24T14:27:58.481Z"
"1442136.17","Ectothiorhodospira sp. BSL-9",,1442136,"131567;2;1224;1236;135613;72276;1051;2684909;1442136","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Ectothiorhodospira;unclassified Ectothiorhodospira;Ectothiorhodospira sp. BSL-9","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Ectothiorhodospira",,"Complete","BSL-9",,,,,,,,,,,,,,,,,,,,"Good","2016-04-27T00:00:00Z",,,"PRJNA232800","SAMN03795182","GCA_001632845.1",,"CP011994","University of California Santa Cruz","Complete","PacBio RSII","298x","HGAP2 from SmrtPipe v. 1.87.139483",,,1,3550080,62.95368,1,3550080,46,2,,3350,95.7,93.1,,,,"Big Soda Lake, Nevada","isolated from an arsenic-rich alkaline soda lake in Nevada, Big Soda Lake","2011-09-11",2011,,"USA","North America","USA: Nevada",,,,,,,,,,,"sample_type:Cell culture","Ectothiorhodospira sp. strain BSL-9 was isolated from an arsenic-rich alkaline soda lake in Nevada, Big Soda Lake. BSL-9 can grow photosynthetically by light-dependent oxidation of arsenite to arsenate, a less toxic form of arsenic. Genomic evidence suggest that BSL-9 uses an arx-type anaerobic arsenite oxidase and not the aio-type. 'Photoarsenotrophy' is thought to impact the arsenic biogeochemical cycle in shallow anoxic aquatic environments.","2019-07-18T22:54:29.310Z","2019-07-18T22:54:29.310Z"
"195064.10","Ectothiorhodospira mobilis DG9",,195064,"131567;2;1224;1236;135613;72276;1051;195064","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Ectothiorhodospira;Ectothiorhodospira mobilis","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Ectothiorhodospira",,"WGS","DG9",,,,,,,,,,,,,,,,,,,,"Good","2022-02-15T00:00:00Z",,,"PRJNA785874","SAMN23587587","GCA_022228125.1",,"JAJOZD000000000",,"WGS","Illumina MiniSeq","139.0x","Unicycler v. Dec-2020",,,40,2682160,68.43652,7,162046,44,3,,2547,94.7,93.7,,,,"thermal saline spring",,"2018",2018,,"Russia","Europe","Russia: Dagestan, Berikei springs",,,,,,,,,,,"sample_type:purified culture;biomaterial_provider:Dr. Johannes Imhoff, GEOMAR Helmholtz Zentrum fur Ozeanforschung Kiel Dusternbrooker Weg 20 D-24105 Kiel, Germany;collected_by:Dr. Vladimir Gorlenko",,"2022-02-27T05:20:23.716Z","2022-02-27T05:20:23.716Z"
"195064.5","Ectothiorhodospira mobilis strain DSM 4180",,195064,"131567;2;1224;1236;135613;72276;1051;195064","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Ectothiorhodospira;Ectothiorhodospira mobilis","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Ectothiorhodospira",,"WGS","DSM 4180",,,,,,,,,,,,,,,,,"DSM 4180",,"Representative","Good","2016-10-31T00:00:00Z",,,"PRJEB17493","SAMN05421721","GCA_900114895.1","SRR4236210","FOUO00000000","DOE - JOINT GENOME INSTITUTE","WGS",,,,,,35,2624954,68.24,6,185410,44,5,,2474,94.6,93.7,,100,,,,,,,,,,,,,,,,,,,,,"Ectothiorhodospira marismortui DSM 4180","2016-11-23T22:11:34.982Z","2016-11-23T22:11:34.982Z"
"195064.8","Ectothiorhodospira mobilis strain DSM 237",,195064,"131567;2;1224;1236;135613;72276;1051;195064","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Ectothiorhodospira;Ectothiorhodospira mobilis","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Ectothiorhodospira",,"WGS","DSM 237",,,,,,,,,,,,,,,,,"DSM:237",,,"Good","1900-01-01T00:00:00Z",,,"PRJNA387386","SAMN07535031","GCA_016584115.1",,"NRSK00000000","GEOMAR Helmholtz Centre for Ocean Research Kiel","WGS","Illumina MiSeq","539x","SPAdes v. 3.10.1",,,119,2796053,68.27488,12,77281,44,2,,2714,95.4,93.1,,,,"salt flat",,"1968",1968,,"Ecuador","South America","Ecuador: Galapagos Islands, near Santa Cruz Island",,,,,,,,,,,"sample_type:cell culture","Sequencing and assembly of draft genomes of cultured anoxygenic phototrophic bacteria","2021-02-01T05:12:17.377Z","2021-02-01T05:12:17.377Z"
"2897387.5","Ectothiorhodospira sp. 9905",,2897387,"131567;2;1224;1236;135613;72276;1051;2684909;2897387","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Ectothiorhodospira;unclassified Ectothiorhodospira;Ectothiorhodospira sp. 9905","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Ectothiorhodospira",,"WGS","9905",,,,,,,,,,,,,,,,,,,,,"2022-02-15T00:00:00Z",,,"PRJNA782331","SAMN23375356","GCA_022227695.1",,"JAJNAM000000000",,"WGS","Illumina MiniSeq","52.0x","Unicycler v. Oct-2021",,,180,3202442,62.256927,19,61395,45,3,,3134,95,93.5,1.4,97.1,,"marine water",,"2021",2021,,"United Kingdom","Europe","United Kingdom: Scotland",,,,,,,,,,,"sample_type:marine water;biomaterial_provider:Dr. Johannes Imhoff, GEOMAR Helmholtz Zentrum fur Ozeanforschung Kiel Dusternbrooker Weg 20 D-24105 Kiel, Germany;collected_by:Johannes Imhoff;identified_by:Dr. Johannes Imhoff",,"2022-04-26T12:15:11.027Z","2022-04-26T12:15:11.027Z"
"2897387.7","Ectothiorhodospira sp. 9905",,2897387,"131567;2;1224;1236;135613;72276;1051;2684909;2897387","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Ectothiorhodospira;unclassified Ectothiorhodospira;Ectothiorhodospira sp. 9905","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Ectothiorhodospira",,"Deprecated","9905",,,,,,,,,,,,,,,,,,,,,"2022-02-15T00:00:00Z",,,"PRJNA782331","SAMN23375356",,,"JAJNAM000000000",,"WGS","Illumina MiniSeq","52.0x","Unicycler v. Oct-2021",,,180,3202442,62.256927,19,61395,45,3,,3134,95,93.5,1.4,97.1,,"marine water",,"2021",2021,,"United Kingdom","Europe","United Kingdom: Scotland",,,,,,,,,,,"sample_type:marine water;biomaterial_provider:Dr. Johannes Imhoff, GEOMAR Helmholtz Zentrum fur Ozeanforschung Kiel Dusternbrooker Weg 20 D-24105 Kiel, Germany;collected_by:Johannes Imhoff;identified_by:Dr. Johannes Imhoff",,"2022-05-27T03:02:56.565Z","2022-05-27T03:02:56.565Z"
"2897388.5","Ectothiorhodospira sp. 9100",,2897388,"131567;2;1224;1236;135613;72276;1051;2684909;2897388","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Ectothiorhodospira;unclassified Ectothiorhodospira;Ectothiorhodospira sp. 9100","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Ectothiorhodospira",,"WGS","9100",,,,,,,,,,,,,,,,,,,,,"2022-02-15T00:00:00Z",,,"PRJNA782333","SAMN23375496","GCA_022227565.1",,"JAJNAN000000000",,"WGS","Illumina MiniSeq","103.0x","Unicycler v. Apr-2020",,,161,3238183,62.267544,18,60896,45,3,,3186,95.1,93.7,1.4,97.9,,"saline lake",,"2021",2021,,"Egypt","Africa","Egypt: Solar lake",,,,,,,,,,,"sample_type:purified culture;biomaterial_provider:Dr. Johannes Imhoff, GEOMAR Helmholtz Zentrum fur Ozeanforschung Kiel Dusternbrooker Weg 20 D-24105 Kiel, Germany;collected_by:Biebl;identified_by:Dr. Johannes Imhoff",,"2022-04-26T12:14:48.665Z","2022-04-26T12:14:48.665Z"
"2897388.7","Ectothiorhodospira sp. 9100",,2897388,"131567;2;1224;1236;135613;72276;1051;2684909;2897388","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Ectothiorhodospira;unclassified Ectothiorhodospira;Ectothiorhodospira sp. 9100","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Ectothiorhodospira",,"Deprecated","9100",,,,,,,,,,,,,,,,,,,,,"2022-02-15T00:00:00Z",,,"PRJNA782333","SAMN23375496",,,"JAJNAN000000000",,"WGS","Illumina MiniSeq","103.0x","Unicycler v. Apr-2020",,,161,3238183,62.267544,18,60896,45,3,,3186,95.1,93.7,1.4,97.9,,"saline lake",,"2021",2021,,"Egypt","Africa","Egypt: Solar lake",,,,,,,,,,,"sample_type:purified culture;biomaterial_provider:Dr. Johannes Imhoff, GEOMAR Helmholtz Zentrum fur Ozeanforschung Kiel Dusternbrooker Weg 20 D-24105 Kiel, Germany;collected_by:Biebl;identified_by:Dr. Johannes Imhoff",,"2022-05-27T03:02:53.839Z","2022-05-27T03:02:53.839Z"
"2899127.5","Ectothiorhodospira sp. B14B",,2899127,"131567;2;1224;1236;135613;72276;1051;2899127","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Ectothiorhodospira;Ectothiorhodospira lacustris","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Ectothiorhodospira",,"WGS","B14B",,,,,,,,,,,,,,,,,,,,,"2022-02-15T00:00:00Z",,,"PRJNA784526","SAMN23491177","GCA_022227785.1",,"JAJNQM000000000",,"WGS","Illumina MiniSeq","20.0x","Unicycler v. May-2021",,,164,3422169,62.906654,32,34579,46,3,,3229,95.7,93.1,3.5,95.4,,"saline lake",,"2002",2002,,"Mongolia","Asia","Mongolia: unnamed lake",,,,,,,,,,,"sample_type:saline lake;biomaterial_provider:Dr. Johannes Imhoff, GEOMAR Helmholtz Zentrum fur Ozeanforschung Kiel Dusternbrooker Weg 20 D-24105 Kiel, Germany;collected_by:Dr. Gorlenko",,"2022-04-26T12:14:02.093Z","2022-04-26T12:14:02.093Z"
