Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"1036743.4","Rhodospirillum rubrum F11",,1036743,"131567;2;1224;28211;204441;41295;1081;1085;1036743","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodospirillum;Rhodospirillum rubrum;Rhodospirillum rubrum F11","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillum","Rhodospirillum rubrum","Complete","F11",,,,,,,,,,,,,,,,,"ATCC 11170","Yes","Representative","Good","2011-09-15T00:00:00Z",,,"PRJNA67413","SAMN02603286","GCA_000225955.1",,"CP003046","Gonzaga University Department of Chemistry and Biochemistry|University of Washing High-Throughput Genomics Unit","Complete",,,,,,1,4352825,65.45,1,4352825,55,12,,3900,99.4,99.4,2,99,,,,,,,,,,,,,,,,,,,,,"F11 is a mutant strain of Rhodospirillum rubrum (ATCC 11170) with approximately 75 genomic nucleotide differences with the previously published wild type genome. The mutant phenotype is of interest as it cannot survive anaerobically, while the wild type strain can. This is relevant to the biosynthesis of rhodoquinone, a cofactor required for anaerobic growth and the malate dismutation pathway. F11 does not produce rhodoquinone due to one of these mutations.","2014-12-08T22:12:43.960Z","2015-03-16T03:17:09.594Z"
"1085.10","Rhodospirillum rubrum strain UBA10083",,1085,"131567;2;1224;28211;204441;41295;1081;1085","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodospirillum;Rhodospirillum rubrum","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillum",,"WGS","UBA10083",,,,,,,,,,,,,,,,,,,,"Good","1900-01-01T00:00:00Z","30148503",,"PRJNA417962","SAMN08017942","GCA_003457435.1",,"DMOP00000000","University of Queensland","WGS","Illumina MiSeq","13.74x","CLC de novo assembler v. 4.4.1",,,467,3337837,65.11659,125,8896,27,,,3478,90.5,87.3,8.2,89.2,,"terrestrial","recovered from metagenomes available from the Sequence Read Archive",,,,,,,,,,,,,,,,,"sample_type:metagenomic assembly","Collection of 3,087 bacterial metagenome-assembled genomes (MAGs) recovered from metagenomes available from the Sequence Read Archive. These MAGs comprise part of the data set used to define a standardised bacterial taxonomy based on a concatenated protein phylogeny that conservatively removes polyphyletic groups and normalises ranks based on relative evolutionary divergence.;derived from metagenome","2018-10-02T09:10:56.213Z","2018-10-02T09:10:56.213Z"
"1085.11","Rhodospirillum rubrum strain UBA12186",,1085,"131567;2;1224;28211;204441;41295;1081;1085","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodospirillum;Rhodospirillum rubrum","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillum",,"WGS","UBA12186",,,,,,,,,,,,,,,,,,,,"Poor","2018-09-10T00:00:00Z","30148503",,"PRJNA417962","SAMN08019727","GCA_003530895.1",,"DPEQ00000000","University of Queensland","WGS","Illumina MiSeq","21.47x","CLC de novo assembler v. 4.4.1",,,422,3379999,65.1405,112,9766,32,1,,3463,89.5,86.1,11.1,87.4,"High CheckM contamination score","terrestrial","recovered from metagenomes available from the Sequence Read Archive",,,,,,,,,,,,,,,,,"sample_type:metagenomic assembly","Collection of 3,087 bacterial metagenome-assembled genomes (MAGs) recovered from metagenomes available from the Sequence Read Archive. These MAGs comprise part of the data set used to define a standardised bacterial taxonomy based on a concatenated protein phylogeny that conservatively removes polyphyletic groups and normalises ranks based on relative evolutionary divergence.;derived from metagenome","2018-10-03T04:54:13.559Z","2018-10-03T04:54:13.559Z"
"1085.14","Rhodospirillum rubrum strain DSM 107",,1085,"131567;2;1224;28211;204441;41295;1081;1085","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodospirillum;Rhodospirillum rubrum","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillum",,"WGS","DSM 107",,,,,,,,,,,,,,,,,"DSM:107",,,"Good","1900-01-01T00:00:00Z",,,"PRJNA387386","SAMN07535019","GCA_016583925.1",,"NRSC00000000","GEOMAR Helmholtz Centre for Ocean Research Kiel","WGS","Illumina MiSeq","86x","SPAdes v. 3.10.1",,,419,4042723,64.90644,48,25284,50,3,,3989,97.1,93.2,,,,"brackwater ditch",,"1965",1965,,"Germany","Europe","Germany: Hallig Norderdeich",,,,,,,,,,,"sample_type:cell culture","Sequencing and assembly of draft genomes of cultured anoxygenic phototrophic bacteria","2021-02-01T05:11:28.625Z","2021-02-01T05:11:28.625Z"
"1085.15","Rhodospirillum rubrum strain DSM 1068",,1085,"131567;2;1224;28211;204441;41295;1081;1085","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodospirillum;Rhodospirillum rubrum","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillum",,"WGS","DSM 1068",,,,,,,,,,,,,,,,,"DSM:1068",,,"Good","1900-01-01T00:00:00Z",,,"PRJNA387386","SAMN07534995","GCA_016583945.1",,"NRSB00000000","GEOMAR Helmholtz Centre for Ocean Research Kiel","WGS","Illumina MiSeq","90x","SPAdes v. 3.10.1",,,213,3935018,65.36,35,34384,48,2,,3779,97.3,94.9,,,,"mud",,,,,"Germany","Europe","Germany",,,,,,,,,,,"sample_type:cell culture","Sequencing and assembly of draft genomes of cultured anoxygenic phototrophic bacteria","2021-02-01T05:10:51.683Z","2021-02-01T05:10:51.683Z"
"1085.16","Rhodospirillum rubrum strain FR1-mutantIV",,1085,"131567;2;1224;28211;204441;41295;1081;1085","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodospirillum;Rhodospirillum rubrum","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillum",,"WGS","FR1-mutantIV",,,,,,,,,,,,,,,,,,,,"Good","1900-01-01T00:00:00Z","33375353",,"PRJNA387386","SAMN07156349","GCA_016653395.1",,"NHSM00000000","GEOMAR Helmholtz Centre for Ocean Research Kiel","WGS","Illumina MiSeq","78x","SPAdes v. 3.10.1",,,313,4654520,65.69709,44,30915,53,3,,4578,96.5,84.1,,,,,,,,,,,,,,,,,,,,,,"sample_type:cell culture","Sequencing and assembly of draft genomes of cultured anoxygenic phototrophic bacteria","2021-02-01T06:12:27.310Z","2021-02-01T06:12:27.310Z"
"1085.17","Rhodospirillum rubrum strain DSM 467",,1085,"131567;2;1224;28211;204441;41295;1081;1085","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodospirillum;Rhodospirillum rubrum","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillum",,"Complete","DSM 467",,,,,,,,,,,,,,,,,"DSM:467","Yes",,"Good","2021-07-06T00:00:00Z",,,"PRJNA742260","SAMN19944272","GCA_019134555.1",,"CP077803,CP077804","Brno University of Technology","Complete","Illumina MiSeq; Oxford Nanopore MinION","370.0x","Flye v. 2.8.1; SPAdes v. 3.11.1; racon v.",,1,2,4406405,65.37897,1,4352570,54,12,,4094,97.6,95.1,,,,"culture collection",,"2021-04",2021,,"Czech Republic","Europe","Czech Republic",,,,,,,,,,,"sample_type:cell culture;biomaterial_provider:Department of Food Chemistry and Biotechnology, Faculty of Chemistry, Brno University of Technology, Purkynova 118, 612 00 Brno, Czechia","Rhodospirillum rubrum is a Gram-negative, pink-coloured facultative anaerobe capable of producing polyhydroxyalkanoates (bioplastics) from various substrates. Here, we present the complete genome of the type strain DSM 467, obtained from DSMZ collection.","2021-08-01T16:45:57.927Z","2021-08-01T16:45:57.927Z"
"1085.23","Rhodospirillum rubrum CTOTU50883",,1085,"131567;2;1224;28211;204441;41295;1081;1085","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodospirillum;Rhodospirillum rubrum","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillum",,"WGS","CTOTU50883",,,,,,,,,,,,,,,,,,,,"Good","2023-09-27T00:00:00Z","36760505",,"PRJNA850115","SAMN29164031",,,"DAMDTZ000000000",,,"Illumina","16.3x","SPAdes v. 3.15.2",,,524,4155614,65.4386,112,11990,42,,,4134,97,92.9,8.2,100,,"urban",,,,,"USA","North America","USA",,,,,,,,,,,"sample_type:metagenomic assembly",,"2023-10-30T02:13:23.604Z","2023-10-30T02:13:23.604Z"
"1085.24","Rhodospirillum rubrum CTOTU50864",,1085,"131567;2;1224;28211;204441;41295;1081;1085","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodospirillum;Rhodospirillum rubrum","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillum",,"WGS","CTOTU50864",,,,,,,,,,,,,,,,,,,,"Good","2023-09-27T00:00:00Z","36760505",,"PRJNA850115","SAMN29164012",,,"DAMDTG000000000",,,"Illumina","10.4x","SPAdes v. 3.15.2",,,543,4149282,65.47229,118,11040,39,,,4129,96.8,91.8,7.9,99.6,,"urban",,,,,"USA","North America","USA",,,,,,,,,,,"sample_type:metagenomic assembly",,"2023-10-30T02:15:01.599Z","2023-10-30T02:15:01.599Z"
"1150469.3","Rhodospirillum photometricum DSM 122",,1150469,"131567;2;1224;28211;204441;41295;1612157;1084;1150469","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Pararhodospirillum;Pararhodospirillum photometricum;Pararhodospirillum photometricum DSM 122","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Pararhodospirillum","Pararhodospirillum photometricum","Complete","DSM122",,,,,,,,,,,,,,,,," ",,"Representative","Good","2012-02-23T00:00:00Z",,,"PRJNA81611","SAMEA2272054","GCA_000284415.2",,"HE663493.1","CNRS","Complete",,,,,,1,3876289,64.7,1,3876289,92,52,,3589,96.7,94.6,3.9,99,,,,,,,,,,,,,,,,,,,,,"-","2014-12-08T22:12:43.943Z","2015-03-16T03:17:09.594Z"
