Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"1054202.4","Rhodobacter viridis strain JA737",,1054202,"131567;2;1224;28211;204455;31989;1060;1054202","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Rhodobacter;Rhodobacter viridis","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Rhodobacter",,"WGS","JA737",,,,,,,,,,,,,,,,,,"Yes","Representative","Good","2018-06-12T00:00:00Z",,,"PRJNA443269","SAMN08777526","GCA_003217355.1",,"QJTK00000000","DOE Joint Genome Institute","WGS","Illumina HiSeq","279.0x","SPAdes v. 3.10.1",,,55,3868365,65.340355,6,209052,44,3,,3780,99.3,98.7,,100,,,,,,,,,,,,,,,,,,,,,"Sequencing as part of the Genomic Encyclopedia of Type Strains, Phase III project","2018-07-16T01:45:15.245Z","2018-07-16T01:45:15.245Z"
"1061.15","Rhodobacter capsulatus strain SP108",,1061,"131567;2;1224;28211;204455;31989;1060;1061","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Rhodobacter;Rhodobacter capsulatus","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Rhodobacter",,"WGS","SP108",,,,,,,,,,,,,,,,,,,,"Good","2019-05-03T00:00:00Z",,,"PRJNA535527","SAMN11509942","GCA_005144475.1",,"SWJZ00000000","Bellevue University","WGS","Illumina MiniSeq","88.0x","Velvet de novo v. 2018-12-20",,,170,4227650,66.15614,21,64266,46,1,,4299,99.6,98.6,,,,"sewage pond","isolated originally from ground water on a sewage farm in Bloomington Indiana (US), and we now determined its whole genome sequences","1975",1975,,"USA","North America","USA: Bloomington, Indiana",,,,,,,,,,,"sample_type:Purified culture;biomaterial_provider:Dr. Terry Meyer, University of Arizona, Biosciences West, 1041 E. Lowell St., 85721, Tucson, AZ.;collected_by:Paul Weaver;identified_by:Paul Weaver;passage_history:The SP108 strain was isolated and purified by Paul Weaver and Howard Gest in 1975 and was later transferred to T.E. Meyer at the University of Arizona, who kept frozen samples and glycerol stocks of the purified culture.","Most isolates of Rhodospirilaceae are senstive to penicillin, but Weaver et al (1975) found the Rhodobacter capsulatus strain sp108 to be resistant to high levels of beta-lactam antibiotics. This strain was isolated originally from ground water on a sewage farm in Bloomington Indiana (US), and we now determined its whole genome sequences.","2019-07-15T20:32:29.510Z","2019-07-15T20:32:29.510Z"
"1061.16","Rhodobacter capsulatus strain DSM 938",,1061,"131567;2;1224;28211;204455;31989;1060;1061","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Rhodobacter;Rhodobacter capsulatus","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Rhodobacter",,"WGS","DSM 938",,,,,,,,,,,,,,,,,"DSM 938",,,"Good","2016-10-20T00:00:00Z",,,"PRJEB15810","SAMN04244550","GCA_900102155.1",,"FNAY00000000","DOE - JOINT GENOME INSTITUTE","WGS",,,,,,68,3864762,66.309746,8,151257,47,3,,3863,99.6,98.7,,,,,,,,,,,,,,,,,,,,,,,"Rhodobacter capsulatus DSM 938","2019-07-15T20:32:14.868Z","2019-07-15T20:32:14.868Z"
"1061.18","Rhodobacter capsulatus strain SL",,1061,"131567;2;1224;28211;204455;31989;1060;1061","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Rhodobacter;Rhodobacter capsulatus","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Rhodobacter",,"WGS","SL",,,,,,,,,,,,,,,,,"ATCC:23782","Yes",,"Good","2019-07-02T00:00:00Z",,,"PRJNA551079","SAMN12138058","GCA_006546695.1",,"VIBE00000000","Bellevue University","WGS","Illumina MiniSeq","73.0x","Spades de novo v. 3.10.0",,,41,3793264,66.42485,7,226868,46,3,,3783,99.7,99.2,,,,"soil","isolated from soil samples by Howard Gest","1975",1975,,"USA","North America","USA: St. Louis, Missouri",,,,,,,,,,,"sample_type:Purified culture;biomaterial_provider:Dr. Terry Meyer, University of Arizona, Biosciences West, 1041 E. Lowell St., 85721, Tucson, AZ.;collected_by:Howard Gest;identified_by:Howard Gest;passage_history:The SL strain was isolated and purified by Howard Gest in 1975 and was later transferred to T.E. Meyer at the University of Arizona, who kept frozen samples and glycerol stocks of the purified culture.","Rhodobacter capsulatus is a purple nonsulfur bacterium with versatile metabolic characteristics. Before SB1003 was designated the type strain, many studies were performed with the SL (St. Louis) strain, isolated from soil samples by Howard Gest. The genome sequence of Rb. capsulatus SL is important to help further our understanding and interpretation of previous work done with this species.","2019-09-30T14:27:00.454Z","2019-09-30T14:27:00.454Z"
"1061.25","Rhodobacter capsulatus strain A12",,1061,"131567;2;1224;28211;204455;31989;1060;1061","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Rhodobacter;Rhodobacter capsulatus","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Rhodobacter",,"Complete","A12",,,,,,,,,,,,,,,,,,,,"Good","2020-09-14T00:00:00Z",,,"PRJNA659097","SAMN15897434","GCA_014622665.1",,"CP061202","Hunan Academy of Agricultural Science","Complete","PacBio Sequel; Illumina NovaSeq","350.0x","SMRT Link v. 5.1.0",,,1,3616128,66.467834,1,3616128,53,4,,3535,99.9,99.5,,,,"soil",,"2017-07-23",2017,,"China","Asia","China:changsha",,,,,,,,,,,"sample_type:single cell","Identification and characterization of a Rhodobacter capsulatus strain A12 with disease suppression and bioremediation function","2020-11-28T13:59:34.794Z","2020-11-28T13:59:34.794Z"
"1061.33","Rhodobacter capsulatus 37b4",,1061,"131567;2;1224;28211;204455;31989;1060;1061","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Rhodobacter;Rhodobacter capsulatus","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Rhodobacter",,"Complete","37b4",,,,,,,,,,,,,,,,,"DSM:938",,,"Good","2023-03-20T00:00:00Z",,,"PRJNA933930","SAMN33261865",,,"CP119563",,,"Oxford Nanopore MinION; Illumina MiSeq","199.0x","Unicycler (hybrid assembly) v. 0.5.0",,,1,3912233,66.23368,1,3912233,54,12,,3924,99.9,99.3,2,98.6,,"nutrient-rich water",,,,,"Germany","Europe","Germany",,,,,,,,,,,,,"2023-04-21T00:01:18.286Z","2023-04-21T00:01:18.286Z"
"1061.34","Rhodobacter capsulatus B10",,1061,"131567;2;1224;28211;204455;31989;1060;1061","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Rhodobacter;Rhodobacter capsulatus","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Rhodobacter",,"WGS","B10",,,,,,,,,,,,,,,,,,,,"Good","2023-09-18T00:00:00Z",,,"PRJNA886967","SAMN31148767",,,"JAOTPJ000000000",,,"Illumina","40.0x","SPAdes v. 2022-03-17",,,73,3889008,66.58909,10,124826,45,3,,3925,99.9,99.6,2.8,98.6,,"water pond",,"1975",1975,,"USA","North America","USA: Missouri, St. Louis",,,,,,,,,,,"sample_type:cell culture",,"2023-09-29T17:40:44.904Z","2023-09-29T17:40:44.904Z"
"1061.5","Rhodobacter capsulatus strain B41",,1061,"131567;2;1224;28211;204455;31989;1060;1061","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Rhodobacter;Rhodobacter capsulatus","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Rhodobacter",,"WGS","B41",,,,,,,,,,,,,,,,,,,,"Good","2015-10-22T00:00:00Z",,,"PRJNA298686","SAMN04166217","GCF_001402715.1","SRR4294678","LLVU00000000","Istanbul Technical University, Institute of Science","WGS","Illumina HiSeq","180.0x","A5-miseq v. OCT-2015",,,64,3675736,66.52,7,182811,50,1,,3650,99.6,99,,100,,,,"2012-11",2012,,"Turkey","Asia","Turkey",,,,,,,,,,,"sample_type:whole organism;biomaterial_provider:Bahcesehir University, Besiktas, Istanbul/TURKEY","Rhodobacter capsulatus B41","2016-01-17T17:37:10.758Z","2016-01-17T17:37:10.758Z"
"1061.6","Rhodobacter capsulatus strain A52",,1061,"131567;2;1224;28211;204455;31989;1060;1061","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Rhodobacter;Rhodobacter capsulatus","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Rhodobacter",,"WGS","A52",,,,,,,,,,,,,,,,,,,,"Good","2015-10-22T00:00:00Z",,,"PRJNA298689","SAMN04166236","GCF_001402725.1","SRR4294674","LLVV00000000","Istanbul Technical University, Institute of Science","WGS","Illumina HiSeq","180.0x","A5-miseq v. OCT-2015",,,70,3607570,66.49,8,164800,47,2,,3589,99.7,98.9,,100,,,,"2012-11",2012,,"Turkey","Asia","Turkey",,,,,,,,,,,"sample_type:whole organism;biomaterial_provider:Bahcesehir University, Besiktas, Istanbul/TURKEY","Rhodobacter capsulatus A52","2016-01-17T17:37:11.072Z","2016-01-17T17:37:11.072Z"
"1061.9","Rhodobacter capsulatus strain DSM 1710",,1061,"131567;2;1224;28211;204455;31989;1060;1061","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Rhodobacter;Rhodobacter capsulatus","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Rhodobacter",,"WGS","DSM 1710",,,,,,,,,,,,,,,,,"DSM:1710","Yes",,"Good","2018-06-19T00:00:00Z",,,"PRJNA262336","SAMN05660778","GCA_003254295.1",,"QKZO00000000","DOE Joint Genome Institute","WGS","Illumina HiSeq","289.0x","AllPaths v. r46652",,,24,3668822,66.540405,5,314919,45,6,,3601,99.7,99.2,,100,,,,,,,,,,,,,,,,,,,,,"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II: from individual species to whole genera","2018-07-16T08:02:51.789Z","2018-07-16T08:02:51.789Z"
