Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"1063.31","Rhodobacter sphaeroides strain org#2181 strain 28/5",,1063,"131567;2;1224;28211;204455;31989;1653176;1063","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Cereibacter;Cereibacter sphaeroides","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Cereibacter",,"Complete","28/5",,,,,,,,,,,,,,,,,,,"Representative","Good","2018-04-25T00:00:00Z",,,"PRJNA380395","SAMN06641975","GCA_003071405.1",,"CP020470,CP020471","NEB","Complete","PacBio","81.0x","HGAP3 v. October-2016",,1,2,3706095,66.43005,1,3548948,47,2,,3653,98.2,97,,100,,,,,,,,,,"temperature:30",,,,,,,,,,"sample_type:cell culture;collected_by:S. Kaplan, University of Wisconsin, obtained this bacterium from G. Drews, University of Freiburg, Freiburg Germany.","Rhodopseudomonas sphaeroides is the original source strain for the restriction enzyme RsaI.","2018-05-30T17:37:32.136Z","2018-05-30T17:37:32.136Z"
"1074.21","Rhodoblastus acidophilus strain DSM 142",,1074,"131567;2;1224;28211;356;45404;168658;1074","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Rhodoblastus;Rhodoblastus acidophilus","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Beijerinckiaceae","Rhodoblastus",,"WGS","DSM 142",,,,,,,,,,,,,,,,,"DSM:142",,,"Good","2019-11-30T00:00:00Z",,,"PRJNA589582","SAMN13283672","GCA_009720655.1",,"WNKS00000000","Bellevue University","WGS","Illumina MiniSeq","50.0x","Spades de novo v. 3.10.0",,,67,4357059,64.11524,7,171816,45,,,4477,94.5,92.8,,,,"forest pond",,"1990",1990,,,,,,,,,,,,,,,"sample_type:Purified culture;biomaterial_provider:DSMZ","Rhodoblastus acidophilus, formerly known as Rhodopseudomonas acidophila, is a gram-negative purple non-sulfur bacteria. We sequenced the genome of R. acidophilus DSM142.","2019-12-31T14:32:38.823Z","2019-12-31T14:32:38.823Z"
"1076.114","Rhodopseudomonas palustris MAG-7",,1076,"131567;2;1224;28211;356;41294;1073;1076","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Rhodopseudomonas;Rhodopseudomonas palustris","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Rhodopseudomonas",,"WGS","MAG-7",,,,,,,,,,,,,,,,,,,,"Poor","2022-04-27T00:00:00Z",,,"PRJNA814312","SAMN26029194","GCA_023155845.1",,"JALMRZ000000000",,"WGS","Oxford Nanopore MinION","11x","Flye v. 2.9",,,114,4171259,63.999287,23,57246,72,6,,7828,85.9,65.9,35,54.2,"Abnormal CDS ratio;High CDS count;Too many hypothetical CDS;Low PLfam CDS ratio","sediment",,"2021-04-10",2021,,"USA","North America","USA: California Owens River",,,,,,,,,,,"sample_type:metagenomic assembly",,"2022-05-27T06:52:30.898Z","2022-05-27T06:52:30.898Z"
"1076.116","Rhodopseudomonas palustris AZUL",,1076,"131567;2;1224;28211;356;41294;1073;1076","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Rhodopseudomonas;Rhodopseudomonas palustris","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Rhodopseudomonas",,"WGS","AZUL",,,,,,,,,,,,,,,,,,,,"Good","1900-01-01T00:00:00Z",,,"PRJNA857705","SAMN29633581","GCA_024330085.1",,"JANEAB000000000",,"WGS","Illumina HiSeq","730.0x","a5 pipeline v. 20140113",,,117,6048986,65.64108,6,272881,47,4,,5797,99,95.5,2,100,,"lake, arsenic: 0.8 mg/L, salinity: 5 ppm",,"2010-08-25",2010,,"Argentina","South America","Argentina: Laguna Azul, Catamarca",,,,,,,,,,,"sample_type:cell culture;biomaterial_provider:IBR-CONICET;collected_by:Dr. Nestor Cortez",,"2022-07-30T12:50:27.327Z","2022-07-30T12:50:27.327Z"
"1076.119","Rhodopseudomonas palustris TLS06",,1076,"131567;2;1224;28211;356;41294;1073;1076","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Rhodopseudomonas;Rhodopseudomonas palustris","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Rhodopseudomonas",,"Complete","TLS06",,,,,,,,,,,,,,,,,,,,"Good","2022-10-28T00:00:00Z",,,"PRJNA737057","SAMN19678795","GCA_025811215.1",,"CP076676",,"Complete","PacBio RSII","173.2701x","CANU v. 2.1.1",,,1,5194203,65.25438,1,5194203,50,6,,4937,99.6,98.4,0.7,100,,"saline paddy soils",,"2018",2018,,"Thailand","Asia","Thailand",,,,,,,,,,,"sample_type:Whole organism",,"2022-11-22T19:19:08.920Z","2022-11-22T19:19:08.920Z"
"1076.120","Rhodopseudomonas palustris PP803",,1076,"131567;2;1224;28211;356;41294;1073;1076","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Rhodopseudomonas;Rhodopseudomonas palustris","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Rhodopseudomonas",,"Complete","PP803",,,,,,,,,,,,,,,,,,,,"Good","2022-10-28T00:00:00Z",,,"PRJNA737057","SAMN19678794","GCA_025811355.1",,"CP076677",,"Complete","PacBio RSII","413.8265x","CANU v. 2.1.1",,,1,5316238,65.19733,1,5316238,50,6,,5058,99.6,98.5,0.2,100,,"saline paddy soils",,"2018",2018,,"Thailand","Asia","Thailand",,,,,,,,,,,"sample_type:Whole organism",,"2022-11-22T19:18:46.138Z","2022-11-22T19:18:46.138Z"
"1076.121","Rhodopseudomonas palustris KTSSR54",,1076,"131567;2;1224;28211;356;41294;1073;1076","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Rhodopseudomonas;Rhodopseudomonas palustris","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Rhodopseudomonas",,"Complete","KTSSR54",,,,,,,,,,,,,,,,,,,,"Good","2022-10-28T00:00:00Z",,,"PRJNA737057","SAMN19678793","GCA_025811415.1",,"CP076678",,"Complete","PacBio RSII","281.3954x","CANU v. 2.1.1",,,1,5330578,65.227394,1,5330578,51,6,,5304,99.3,96,4,100,,"saline paddy soils",,"2018",2018,,"Thailand","Asia","Thailand",,,,,,,,,,,"sample_type:Whole organism",,"2022-11-22T19:19:35.366Z","2022-11-22T19:19:35.366Z"
"1076.122","Rhodopseudomonas palustris VNW64",,1076,"131567;2;1224;28211;356;41294;1073;1076","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Rhodopseudomonas;Rhodopseudomonas palustris","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Rhodopseudomonas",,"Complete","VNW64",,,,,,,,,,,,,,,,,,,,"Good","2022-10-28T00:00:00Z",,,"PRJNA737057","SAMN19678792","GCA_025811435.1",,"CP076679",,"Complete","PacBio RSII","219.672x","CANU v. 2.1.1",,,1,5462690,65.16242,1,5462690,53,6,,5225,99.6,98.4,0.5,100,,"saline paddy soils",,"2018",2018,,"Thailand","Asia","Thailand",,,,,,,,,,,"sample_type:Whole organism",,"2022-11-22T19:19:32.990Z","2022-11-22T19:19:32.990Z"
"1076.123","Rhodopseudomonas palustris CGA0092",,1076,"131567;2;1224;28211;356;41294;1073;1076","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Rhodopseudomonas;Rhodopseudomonas palustris","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Rhodopseudomonas",,"Complete","CGA0092",,,,,,,,,,,,,,,,,,,,"Good","2022-12-04T00:00:00Z",,,"PRJNA902690","SAMN31769028",,,"CP113083,CP113084",,,"Illumina NextSeq; Oxford Nanopore GridION","150.0x","Unicycler v. v0.4.7",,1,2,5467641,65.03108,1,5459214,48,6,,5185,99.7,99.3,,100,,"soil",,"1970/1986",,,"USA","North America","USA: Ithaca, New York",,,,,,,,,,,,,"2022-12-26T21:03:35.134Z","2022-12-26T21:03:35.134Z"
"1076.124","Rhodopseudomonas palustris k7",,1076,"131567;2;1224;28211;356;41294;1073;1076","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Rhodopseudomonas;Rhodopseudomonas palustris","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Rhodopseudomonas",,"Complete","k7",,,,,,,,,,,,,,,,,,,,"Good","2023-01-18T00:00:00Z",,,"PRJNA898874","SAMN31634195",,,"CP115713",,,"Oxford Nanopore","691.0x","Canu v. v1.5",,,1,5417204,64.95777,1,5417204,83,6,,5170,99.7,98.7,0.2,100,,"Liao River estuary, Panjin City, Liaoning Province, China",,"2018-04-09",2018,,"China","Asia","China:Panjin",,,,,,,,,,,"sample_type:cell culture",,"2023-02-15T02:33:01.294Z","2023-02-15T02:33:01.294Z"
