Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"1385624.5","Desulfofustis sp. PB-SRB1 strain PB-SRB1-LS01-2011a",,1385624,"131567;2;200940;3031451;3024411;2886822;51194;2630780;1385624","cellular organisms;Bacteria;Thermodesulfobacteriota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;Desulfofustis;unclassified Desulfofustis;Desulfofustis sp. PB-SRB1","Bacteria",,"Thermodesulfobacteriota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae","Desulfofustis",,"WGS","PB-SRB1-LS01-2011a",,,,,,,,,,,,,,,,,,,,"Good","2021-01-19T00:00:00Z",,,"PRJNA684324","SAMN17301126","GCA_016722945.1",,"JAEQMT000000000","University of California, Santa Barbara","WGS","PacBio RSII","50.0x","HGAP v. 3.3",,,71,4686948,54.098232,4,385966,55,15,,5275,92.8,89.2,,,,"pink berry consortia",,"2011-07-01",2011,,"USA","North America","USA: Sippewissett Salt Marsh, Falmouth, MA",,,,,,,,,,,"sample_type:metagenomic assembly","Pink berry microbial consortia are a macroscopic microbial aggregates dominated by sulfur cycling species - the purple sulfur bacteria Thiohalocapsa PB-PSB1 and the sulfate reducer Desulfofustis PB-SRB1. The present study deeply sequenced these consortia with both PacBio sequencing platforms. Samples collected in 2011 from Little Sippewissett 'pond 01'","2021-02-01T07:22:05.237Z","2021-02-01T07:22:05.237Z"
"1385625.7","uncultured Thiohalocapsa sp. PB-PSB1",,1385625,"131567;2;1224;1236;135613;1046;85079;2625335;1385625","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiohalocapsa;unclassified Thiohalocapsa;Thiohalocapsa sp. PB-PSB1","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Chromatiaceae","Thiohalocapsa",,"WGS","PB-PSB1",,,,,,,,,,,,,,,,,,,,"Poor","2013-11-05T00:00:00Z",,,"PRJNA215075","SAMN02303577, SAMN02303578","GCA_000495615.1",,"AVFR00000000","UC Davis","WGS","Illumina HiSeq; 454","25.0x","idba_ud v. 1.0.9",,,1386,6747581,58.69173,282,7379,49,1,,8467,,,,,"Too many contigs","pink berry consortia of the Sippewissett salt marsh",,,,,"USA","North America","USA: Sippewissett Marsh, Cape Cod, MA",,,,,,,,,,,,"Assembled metagenomic scaffolds that have been binned using tetranucleotide-frequency emergent self organizing maps. This genomic bin has been identified as an uncultured Thiohalocapsa species PB-PSB1, the purple sulfur bacterial species that composes the majority of the biomass in the pink berry consortia of the Sippewissett salt marsh.","2019-07-18T22:14:24.387Z","2019-07-18T22:14:24.387Z"
"1385625.9","Thiohalocapsa sp. PB-PSB1 strain PB-PSB1-LS01-2011a",,1385625,"131567;2;1224;1236;135613;1046;85079;2625335;1385625","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiohalocapsa;unclassified Thiohalocapsa;Thiohalocapsa sp. PB-PSB1","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Chromatiaceae","Thiohalocapsa",,"Complete","PB-PSB1-LS01-2011a",,,,,,,,,,,,,,,,,,,,"Good","2021-01-14T00:00:00Z",,,"PRJNA684324","SAMN17298418","GCA_016745215.1",,"CP050890","University of California, Santa Barbara","Complete","PacBio RSII","500.0x","Celera Assembler v. 8.1",,,1,7950631,58.673355,1,7950631,48,4,,8684,94.5,91.2,,,,"pink berry consortia",,"2011-07-01",2011,,"USA","North America","USA: Sippewissett Salt Marsh, Falmouth, MA",,,,,,,,,,,"sample_type:metagenomic assembly","Pink berry microbial consortia are a macroscopic microbial aggregates dominated by sulfur cycling species - the purple sulfur bacteria Thiohalocapsa PB-PSB1 and the sulfate reducer Desulfofustis PB-SRB1. The present study deeply sequenced these consortia with both PacBio sequencing platforms. Samples collected in 2011 from Little Sippewissett 'pond 01'","2021-02-01T07:58:43.503Z","2021-02-01T07:58:43.503Z"
"1431688.10","Thiohalocapsa sp. ML1",,1431688,"131567;2;1224;1236;135613;1046;85079;2625335;1431688","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiohalocapsa;unclassified Thiohalocapsa;Thiohalocapsa sp. ML1","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Chromatiaceae","Thiohalocapsa",,"WGS","ML1",,,,,,,,,,,,,,,,,,,,"Good","2015-12-17T00:00:00Z","24976102",,"PRJNA229990","SAMN02422661","GCA_001469165.1",,"JABX00000000","The Pennsylvania State University","WGS","454","43.0x","Newbler v. 2.6",,,137,6305354,68.30559,18,114369,45,2,,6238,,,,,,"water",,"1989-10-01",1989,,"Canada","North America","Canada: British Columbia",,,,,,,,,,,,"Partial genome of Mahoney Lake isolate ML1 obtained from an enrichment culture containing 2 organisms; sequences were separated based on GC content'","2019-07-18T22:46:52.778Z","2019-07-18T22:46:52.778Z"
"1904441.356","Rhodobacteraceae bacterium strain PB-A2_LS01-2011-a",,1904441,"131567;2;1224;28211;204455;31989;58840;1904441","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;unclassified Paracoccaceae;Paracoccaceae bacterium","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae",,,"WGS","PB-A2_LS01-2011-a",,,,,,,,,,,,,,,,,,,,"Good","2021-01-27T00:00:00Z",,,"PRJNA684324","SAMN17054542","GCA_016762795.1",,"JAERIM000000000","University of California, Santa Barbara","WGS","Illumina","350.0x","IDBA-UD v. AUG-2015",,,302,4241232,67.557915,40,34423,50,4,,4663,95.5,93.9,,,,"pink berry consortia",,"2011-07-01",2011,,"USA","North America","USA: Sippewissett Salt Marsh, Falmouth, MA",,,,,,,,,,,"sample_type:metagenomic assembly","Pink berry microbial consortia are a macroscopic microbial aggregates dominated by sulfur cycling species - the purple sulfur bacteria Thiohalocapsa PB-PSB1 and the sulfate reducer Desulfofustis PB-SRB1. The present study deeply sequenced these consortia with both PacBio sequencing platforms. Samples collected in 2011 from Little Sippewissett 'pond 01'","2021-02-28T01:54:23.928Z","2021-02-28T01:54:23.928Z"
"1904441.357","Rhodobacteraceae bacterium strain PB-A2_LS01-2011-b",,1904441,"131567;2;1224;28211;204455;31989;58840;1904441","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;unclassified Paracoccaceae;Paracoccaceae bacterium","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae",,,"WGS","PB-A2_LS01-2011-b",,,,,,,,,,,,,,,,,,,,"Poor","2021-01-27T00:00:00Z",,,"PRJNA684324","SAMN17054635","GCA_016762775.1",,"JAERIP000000000","University of California, Santa Barbara","WGS","PacBio RSII","27.0x","HGAP v. 3.3",,,49,4802595,67.31123,5,202752,49,3,,7722,94.3,74.4,,,"Abnormal CDS ratio;High CDS count","pink berry consortia",,"2011-07-01",2011,,"USA","North America","USA: Sippewissett Salt Marsh, Falmouth, MA",,,,,,,,,,,"sample_type:metagenomic assembly","Pink berry microbial consortia are a macroscopic microbial aggregates dominated by sulfur cycling species - the purple sulfur bacteria Thiohalocapsa PB-PSB1 and the sulfate reducer Desulfofustis PB-SRB1. The present study deeply sequenced these consortia with both PacBio sequencing platforms. Samples collected in 2011 from Little Sippewissett 'pond 01'","2021-02-28T01:54:23.928Z","2021-02-28T01:54:23.928Z"
"1913988.593","Alphaproteobacteria bacterium strain PB-A3_LS01-2011-a",,1913988,"131567;2;1224;28211;33807;1913988","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;unclassified Alphaproteobacteria;Alphaproteobacteria bacterium","Bacteria",,"Pseudomonadota","Alphaproteobacteria",,,,,"WGS","PB-A3_LS01-2011-a",,,,,,,,,,,,,,,,,,,,"Good","2021-01-27T00:00:00Z",,,"PRJNA684324","SAMN17054543","GCA_016757515.1",,"JAERIN000000000","University of California, Santa Barbara","WGS","Illumina","200.0x","IDBA-UD v. AUG-2015",,,90,1753089,64.37471,15,32687,47,4,,2002,91.2,90.6,,,,"pink berry consortia",,"2011-07-01",2011,,"USA","North America","USA: Sippewissett Salt Marsh, Falmouth, MA",,,,,,,,,,,"sample_type:metagenomic assembly","Pink berry microbial consortia are a macroscopic microbial aggregates dominated by sulfur cycling species - the purple sulfur bacteria Thiohalocapsa PB-PSB1 and the sulfate reducer Desulfofustis PB-SRB1. The present study deeply sequenced these consortia with both PacBio sequencing platforms. Samples collected in 2011 from Little Sippewissett 'pond 01'","2021-02-01T08:05:20.831Z","2021-02-01T08:05:20.831Z"
"1924941.16","Oceanicaulis sp. strain PB-A1_LS01-2011-a",,1924941,"131567;2;1224;28211;2800059;2800061;153232;2632123;1924941","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Maricaulales;Maricaulaceae;Oceanicaulis;unclassified Oceanicaulis;Oceanicaulis sp.","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Maricaulales","Maricaulaceae","Oceanicaulis",,"WGS","PB-A1_LS01-2011-a",,,,,,,,,,,,,,,,,,,,"Good","2021-01-27T00:00:00Z",,,"PRJNA684324","SAMN17054541","GCA_016762755.1",,"JAERIL000000000","University of California, Santa Barbara","WGS","Illumina","50.0x","IDBA-UD v. AUG-2015",,,186,3235649,62.146458,36,29314,42,3,,3256,98,94.8,,,,"pink berry consortia",,"2011-07-01",2011,,"USA","North America","USA: Sippewissett Salt Marsh, Falmouth, MA",,,,,,,,,,,"sample_type:metagenomic assembly","Pink berry microbial consortia are a macroscopic microbial aggregates dominated by sulfur cycling species - the purple sulfur bacteria Thiohalocapsa PB-PSB1 and the sulfate reducer Desulfofustis PB-SRB1. The present study deeply sequenced these consortia with both PacBio sequencing platforms. Samples collected in 2011 from Little Sippewissett 'pond 01'","2021-02-27T15:37:58.468Z","2021-02-27T15:37:58.468Z"
"1924941.17","Oceanicaulis sp. strain PB-A1_LS01-2011-b",,1924941,"131567;2;1224;28211;2800059;2800061;153232;2632123;1924941","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Maricaulales;Maricaulaceae;Oceanicaulis;unclassified Oceanicaulis;Oceanicaulis sp.","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Maricaulales","Maricaulaceae","Oceanicaulis",,"WGS","PB-A1_LS01-2011-b",,,,,,,,,,,,,,,,,,,,"Poor","2021-01-27T00:00:00Z",,,"PRJNA684324","SAMN17054628","GCA_016762865.1",,"JAERIO000000000","University of California, Santa Barbara","WGS","PacBio RSII","64.0x","HGAP v. 3.3",,,36,613165,62.27606,14,17943,10,,,1356,86.7,84.5,,,"Abnormal CDS ratio","pink berry consortia",,"2011-07-01",2011,,"USA","North America","USA: Sippewissett Salt Marsh, Falmouth, MA",,,,,,,,,,,"sample_type:metagenomic assembly","Pink berry microbial consortia are a macroscopic microbial aggregates dominated by sulfur cycling species - the purple sulfur bacteria Thiohalocapsa PB-PSB1 and the sulfate reducer Desulfofustis PB-SRB1. The present study deeply sequenced these consortia with both PacBio sequencing platforms. Samples collected in 2011 from Little Sippewissett 'pond 01'","2021-02-27T15:35:50.334Z","2021-02-27T15:35:50.334Z"
"2497641.3","Thiohalocapsa sp. strain CSSed165cm_593",,2497641,"131567;2;1224;1236;135613;1046;85079;2625335;2497641","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiohalocapsa;unclassified Thiohalocapsa;Thiohalocapsa sp.","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Chromatiaceae","Thiohalocapsa",,"WGS","CSSed165cm_593",,,,,,,,,,,,,,,,,,,,"Good","2019-07-18T00:00:00Z",,,"PRJNA453733","SAMN10610655","GCA_007130645.1",,"SLSC00000000","Institute for Biodiversity and Ecosystem dynamics, Faculty of Science, University of Amsterdam","WGS","Illumina HiSeq","12.0848543625079x","MEGAHIT v. v1.0.3-6-gc3983f9",,,423,2708031,64.63493,116,7293,39,,,2829,,,,,,"hypersaline soda lake sediment",,"2016-07",2016,,"Russia","Europe","Russia: Kulunda Steppe",,,,,,,,,,,"sample_type:metagenomic assembly","In this study we examined the vertical distribution of genes and transcripts originating from dissimilatory sulfur-cycling prokaryotes in the water and surface sediments of Cock soda lake, a relatively large hypersaline soda lake in the Kulunda Steppe (South-Western Siberia, Russian Federation).","2019-10-01T01:56:49.487Z","2019-10-01T01:56:49.487Z"
