Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"1048.20","Marichromatium gracile strain YL28",,1048,"131567;2;1224;1236;135613;1046;85076;1048","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Chromatiaceae;Marichromatium;Marichromatium gracile","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Chromatiaceae","Marichromatium",,"WGS","YL28",,,,,,,,,,,,,,,,,,,,"Good","2016-03-08T00:00:00Z","27151789",,"PRJNA312715","SAMN04505658","GCA_001583505.1",,"LSYU00000000","Michigan State University","WGS","Illumina HiSeq","100.0x","SOAPdenovo v. 2.3",,,120,3840251,68.857605,16,93809,56,2,,3524,96.8,95,,,,"intertidal mangrove sediment",,"2014",2014,,"China","Asia","China: Xiamen",,"intertidal mangrove sediment",,,,,,,,,"sample_type:Sediment isolate","Investigation of a a photosynthetic purple sulfur bacterium","2019-07-15T20:32:11.656Z","2019-07-15T20:32:11.656Z"
"1048.21","Marichromatium gracile strain DSM 203",,1048,"131567;2;1224;1236;135613;1046;85076;1048","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Chromatiaceae;Marichromatium;Marichromatium gracile","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Chromatiaceae","Marichromatium",,"WGS","DSM 203",,,,,,,,,,,,,,,,,"DSM:203",,"Representative","Good","2019-03-11T00:00:00Z",,,"PRJNA500313","SAMN10363319","GCA_004343155.1",,"SMDC00000000","DOE Joint Genome Institute","WGS","Illumina HiSeq","391.0x","SPAdes v. 3.11.0",,,30,3830035,68.431526,4,284779,53,1,,3483,96.8,95,,,,,,,,,,,,,,,,,,,,,,,"Genome sequencing as part of The One Thousand Microbial Genomes Phase 4 (KMG IV) project","2019-07-15T20:32:09.581Z","2019-07-15T20:32:09.581Z"
"1048.25","Marichromatium gracile strain DSM 203",,1048,"131567;2;1224;1236;135613;1046;85076;1048","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Chromatiaceae;Marichromatium;Marichromatium gracile","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Chromatiaceae","Marichromatium",,"WGS","DSM 203",,,,,,,,,,,,,,,,,"DSM:203",,,"Good","1900-01-01T00:00:00Z",,,"PRJNA387386","SAMN07535002","GCA_016583515.1",,"NRRH00000000","GEOMAR Helmholtz Centre for Ocean Research Kiel","WGS","Illumina MiSeq","115x","SPAdes v. 3.10.1",,,446,4047327,67.95499,16,85986,53,3,,4053,94.5,89.5,,,,"marine water",,,,,"USA","North America","USA: Massachusetts, Headley Harbour",,,,,,,,,,,"sample_type:cell culture","Sequencing and assembly of draft genomes of cultured anoxygenic phototrophic bacteria","2021-02-01T05:08:16.432Z","2021-02-01T05:08:16.432Z"
"1048.28","Marichromatium gracile HOL-1",,1048,"131567;2;1224;1236;135613;1046;85076;1048","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Chromatiaceae;Marichromatium;Marichromatium gracile","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Chromatiaceae","Marichromatium",,"WGS","HOL-1",,,,,,,,,,,,,,,,,"DSM:1712",,,"Good","2022-01-12T00:00:00Z",,,"PRJNA795424","SAMN24720014","GCA_021457485.1",,"JAKEDQ000000000",,"WGS","Illumina MiniSeq","75.0x","Unicycler v. Dec-2020",,,68,3749065,68.48521,9,144724,48,3,,3417,96.8,95.1,,,,"marine water",,"1980",1980,,,,,,,,,,,,,"T.E. Meyer > H. Biebl > DSMZ",,"sample_type:purified culture;collected_by:Dr Terry Meyer",,"2022-01-28T10:40:25.585Z","2022-01-28T10:40:25.585Z"
"2250209.3","Marichromatium sp. strain SM2_Orange-Green2",,2250209,"131567;2;1224;1236;135613;1046;85076;2618417;2250209","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Chromatiaceae;Marichromatium;unclassified Marichromatium;Marichromatium sp.","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Chromatiaceae","Marichromatium",,"WGS","SM2_Orange-Green2",,,,,,,,,,,,,,,,,,,,"Good","2021-03-31T00:00:00Z",,,"PRJNA714941","SAMN18340669","GCA_017655215.1",,"JAGGNG000000000","Bellevue University","WGS","Illumina","58.0x","Metagenomic binning in PATRIC v.",,,293,3944751,67.62267,33,38643,47,,,3714,96.6,92.1,,,,"inland salt marsh enrichment culture",,"2020-10",2020,,"USA","North America","USA: Nebraska",,,,,,,,,,,"biomaterial_provider:Dr. John Kyndt, Bellevue University, 1000 Galvin Rd. South, Bellevue, NE, 68005, USA;collected_by:John Kyndt;identified_by:John Kyndt;sample_type:metagenomic assembly","The Eastern Nebraska Salt Marshes contains a unique, alkaline and saline wetland area that is a remnant of prehistoric oceans that once covered this area. The microbial composition of these salt marshes, identified by metagenomic sequencing, is different from well-studied coastal salt marshes as it contains evidence for several unique bacterial genera.","2021-04-25T12:26:56.617Z","2021-04-25T12:26:56.617Z"
"2483362.3","Marichromatium sp. AB31",,2483362,"131567;2;1224;1236;135613;1046;85076;2618417;2483362","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Chromatiaceae;Marichromatium;unclassified Marichromatium;Marichromatium sp. AB31","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Chromatiaceae","Marichromatium",,"WGS","AB31",,,,,,,,,,,,,,,,,,,,"Good","2018-11-07T00:00:00Z",,,"PRJNA498229","SAMN10285739","GCA_003718685.1",,"RHFI00000000","Department of Biology, Washington University in St. Louis","WGS","Illumina MiSeq","41.0x","SPAdes v. OCTOBER-2018",,,85,3763273,68.42327,7,158799,53,4,,3488,96.8,95.3,,,,"microbial mat material from brackish estuary",,"2014-07-14",2014,,"USA","North America","USA: Trunk River, Woods Hole, Massachusetts",,,,,,,,,,,"sample_type:pure culture;collected_by:Arpita Bose","To identify, characterize, and sequence natural isolates of anoxygenic phototrophs.","2018-11-29T09:28:14.329Z","2018-11-29T09:28:14.329Z"
"2483363.3","Marichromatium sp. AB32",,2483363,"131567;2;1224;1236;135613;1046;85076;2618417;2483363","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Chromatiaceae;Marichromatium;unclassified Marichromatium;Marichromatium sp. AB32","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Chromatiaceae","Marichromatium",,"WGS","AB32",,,,,,,,,,,,,,,,,,,,"Good","2018-11-07T00:00:00Z",,,"PRJNA498232","SAMN10285743","GCA_003718675.1",,"RHFJ00000000","Department of Biology, Washington University in St. Louis","WGS","Illumina MiSeq","33.0x","SPAdes v. OCTOBER-2018",,,178,3728112,68.451645,20,57651,52,2,,3509,96.9,94.9,,,,"microbial mat material from brackish estuary",,"2014-07-14",2014,,"USA","North America","USA: Trunk River, Woods Hole, Massachusetts",,,,,,,,,,,"sample_type:pure culture;collected_by:Arpita Bose","To identify, characterize, and sequence natural isolates of anoxygenic phototrophs.","2018-11-29T09:28:19.101Z","2018-11-29T09:28:19.101Z"
"365339.3","Marichromatium bheemlicum strain DSM 18632",,365339,"131567;2;1224;1236;135613;1046;85076;365339","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Chromatiaceae;Marichromatium;Marichromatium bheemlicum","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Chromatiaceae","Marichromatium",,"WGS","DSM 18632",,,,,,,,,,,,,,,,,"DSM:18632","Yes","Representative","Good","2020-04-13T00:00:00Z",,,"PRJNA623604","SAMN14553635","GCA_012276755.1",,"JAAXKX000000000","Bellevue University","WGS","Illumina MiniSeq","63.0x","Unicycler v. March-2020",,,58,3644688,67.20432,9,127209,52,2,,3273,94.9,93.1,,,,"marine aquaculture pond","isolated from a marine aquaculture pond","2007",2007,,,,,,,,,,,,,,,"sample_type:Purified culture;biomaterial_provider:DSMZ;collected_by:Kumar et al.","Marichromatium bheemlicum is a non-diazotrophic, photosynthetic gammaproteobacterium originally isolated from a marine aquaculture pond. We sequenced the genome of M. bheemlicum strain DSM 18632, type strain.","2020-04-26T15:34:27.244Z","2020-04-26T15:34:27.244Z"
"765910.4","Marichromatium purpuratum 984",,765910,"131567;2;1224;1236;135613;1046;85076;37487;765910","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Chromatiaceae;Marichromatium;Marichromatium purpuratum;Marichromatium purpuratum 984","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Chromatiaceae","Marichromatium","Marichromatium purpuratum","Deprecated","984",,,,,,,,,,,,,,,,,,,,"Good","2011-08-18T00:00:00Z",,,"PRJNA62513","SAMN02256540","GCA_000224005.2","SRR3927017","AFWU00000000",,"WGS",,,,,,43,3760852,67.88,6,196887,51,5,,3272,95.9,94.5,,96.7,,,,"1980",1980,,,,,,"Sponge",,,,,,,,,,"This strain will be used for comparative analysis.","2014-12-08T22:12:01.450Z","2015-03-16T03:17:09.594Z"
"765910.48","Marichromatium purpuratum 984",,765910,"131567;2;1224;1236;135613;1046;85076;37487;765910","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Chromatiaceae;Marichromatium;Marichromatium purpuratum;Marichromatium purpuratum 984","Bacteria",,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Chromatiaceae","Marichromatium","Marichromatium purpuratum","Complete","984",,,,,,,,,,,,,,,,,,,"Representative","Good","2016-05-27T00:00:00Z",,,"PRJNA62513","SAMN02256540","GCA_000224005.3",,"AFWU00000000",,,"454-GS-FLX-Titanium; Illumina HiSeq","Unknown","ALLPATHS v. R41043; Velvet v. 1.1.05;",,,1,3779112,67.86409,1,3779112,55,6,,3403,96.5,95,0.6,100,,"marine sponge",,"1980",1980,,,,,,,,,,,,,,,,,"2022-11-30T21:01:12.022Z","2022-11-30T21:01:12.022Z"
