"genome_id","genome_name","Phenotype","Phenotype_Sam_Justification","Phenotype_final","other_names","ncbi_taxon_id","taxon_lineage_i_ds","taxon_lineage_names","superkingdom","kingdom","phylum","class","order","family","genus","species","genome_status","strain","serovar","biovar","pathovar","mlst","segment","subtype","h_type","n_type","h1_clade_global","h1_clade_us","h5_clade","p_h1n1_like","lineage","clade","subclade","other_typing","culture_collection","type_strain","reference","genome_quality","completion_date","publication","authors","bio_project_accession","bio_sample_accession","assembly_accession","sra_accession","gen_bank_accessions","sequencing_center","sequencing_status","sequencing_platform","sequencing_depth","assembly_method","chromosome","plasmids","contigs","size","gc_content","contig_l50","contig_n50","trna","rrna","mat_peptide","cds","coarse_consistency","fine_consistency","check_m_contamination","check_m_completeness","genome_quality_flags","isolation_source","isolation_comments","collection_date","collection_year","season","isolation_country","geographic_group","geographic_location","other_environmental","host_name","host_common_name","host_gender","host_age","host_health","host_group","lab_host","passage","other_clinical","additional_metadata","comments","date_inserted","date_modified","nm_contigs"
1855285.3,"Albidiferax sp. OV413","unkown","NA","Unknown","NA",1855285,"131567;2;1224;28216;80840;80864;28065;2627954;1855285","cellular organisms;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;unclassified Rhodoferax;Rhodoferax sp. OV413","Bacteria","NA","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Albidiferax","NA","WGS","OV413","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Good","2016-10-20T00:00:00Z","NA","NA","PRJEB16268","SAMN05216303","GCA_900104385.1","SRR4156296","FNJA00000000","DOE - JOINT GENOME INSTITUTE","WGS","NA","NA","NA","NA",0,23,5736266,63.33,3,616917,48,1,"NA",5354,97.8,95.8,1.2,100,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Albidiferax sp. OV413","2016-11-20T09:03:54.798Z","2016-11-20T09:03:54.798Z",23
1872427.77,"Alcanivorax sp. strain HT1","unkown","https://link.springer.com/article/10.1007/s00253-010-3049-6","Halotolerant_extra","NA",1872427,"131567;2;1224;1236;135619;224372;59753;2638842;1872427","cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;Alcanivorax;unclassified Alcanivorax;Alcanivorax sp.","Bacteria","NA","Pseudomonadota","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae","Alcanivorax","NA","Complete","HT1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Good","2021-08-01T00:00:00Z","NA","NA","PRJNA743701","SAMN20089051","GCA_019431375.1","NA","CP080267","ocean university of china","Complete","Illumina NovaSeq; Oxford Nanopore","99.63%x","SPAdes v. v.3.7.1","NA",0,1,3966100,58.707367,1,3966100,42,6,"NA",3786,98.5,96.8,"NA","NA","NA","surface seafloor hadal sediment","NA",43810,2019,"NA","Pacific Ocean","NA","Pacific Ocean: Mariana Trench","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","sample_type:metagenomic assembly","Culture enrichment is an approach to discover the uncharted microbial species in environmental microbiota, yet this strategy has not been widely used to study microbes from deep-sea environments. Here we report the cultivation and genomic analyses of sediment microbiota collected from 6477 m depth of the Mariana Trench. The sediment samples were cultured anaerobically in laboratory for four months, before subjected to full-length 16S rRNA gene sequencing using the PacBio technique and metagenome sequencing using both the Illumina and Nanopore techniques. The 16S rRNA gene analyses revealed 437 operational taxonomic units that are specific for the cultured microbiota, despite the lower diversity of the cultured microbiota in comparison with the original microbiota. Metagenome analyses revealed the prevalence of functions related to respiration, energy production, and stress response in the cultured microbiota, suggesting these functions may contribute to microbial proliferation under the laboratory condition. Binning of the assembled metagenome contigs generated four nearly complete genomes, affiliated to yet unclassified species under the genera Alcanivorax, Idiomarina, Sulfitobacter, and Erythrobacter, which were enriched in the cultured microbiota but rare or undetectable in the original microbiota. Analyses of the four genomes revealed a variety of genes for carbohydrate utilization and dissimilatory nitrite reduction, pointing to an ability to respire diverse carbon sources using nitrite as the final electron acceptor. Taken together, we showed that coupling culture enrichment and long-read sequencing is probably an ideal way to mine novel microbial species in the hadal environment, particularly the rare species in their native environment niches, and thus expand our understanding of the hadal microbial diversity.","2021-08-26T14:59:07.826Z","2021-08-26T14:59:07.826Z",1
154981.45,"Aliiroseovarius crassostreae strain S044","unkown","Have never seein Aliiroseovarius in my career, believe it to be halotolerant and aerobic heterotrophs without photosynthetic capabilities","Halotolerant_extra","NA",154981,"131567;2;1224;28211;204455;31989;1658781;154981","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Aliiroseovarius;Aliiroseovarius crassostreae","Bacteria","NA","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Aliiroseovarius","NA","Complete","S044","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Good","2022-09-12T00:00:00Z","NA","NA","PRJNA753157","SAMN20691404","GCA_025137635.1","NA","CP080772,CP080773","Ocean University of China","NA","PacBio Sequel; Illumina NovaSeq","100.0x","SMART Link v. v5.0.1","NA",1,2,3367659,58.974617,1,3153609,49,9,"NA",3316,97.9,96.8,"NA","NA","NA","the biofilms collected from three coastal waters of China, and the complete genomes of these Roseobacter were constructed","isolated from the biofilms collected from three coastal waters of China, and the complete genomes of these Roseobacter were constructed in this Bioproject",44280,2021,"NA","NA","NA","China","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","55 strains of the marine Roseobacter clade were isolated from the biofilms collected from three coastal waters of China, and the complete genomes of these Roseobacter were constructed in this Bioproject. These published data are very helpful for us to explore the taxa and functional roles of the marine Roseobacter in biofilm of coastal oceans.","2022-10-04T06:28:24.877Z","2022-10-04T06:28:24.877Z",1
154981.47,"Aliiroseovarius crassostreae strain S051","unkown","Have never seein Aliiroseovarius in my career, believe it to be halotolerant and aerobic heterotrophs without photosynthetic capabilities","Halotolerant_extra","NA",154981,"131567;2;1224;28211;204455;31989;1658781;154981","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Aliiroseovarius;Aliiroseovarius crassostreae","Bacteria","NA","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Aliiroseovarius","NA","Complete","S051","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Good","2022-09-12T00:00:00Z","NA","NA","PRJNA753157","SAMN20691616","GCA_025137775.1","NA","CP080774,CP080775","Ocean University of China","NA","PacBio Sequel; Illumina NovaSeq","100.0x","SMART Link v. v5.0.1","NA",1,2,3358177,58.942516,1,3120835,49,9,"NA",3344,97.9,96.8,"NA","NA","NA","the biofilms collected from three coastal waters of China, and the complete genomes of these Roseobacter were constructed","isolated from the biofilms collected from three coastal waters of China, and the complete genomes of these Roseobacter were constructed in this Bioproject",44278,2021,"NA","NA","NA","China","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","55 strains of the marine Roseobacter clade were isolated from the biofilms collected from three coastal waters of China, and the complete genomes of these Roseobacter were constructed in this Bioproject. These published data are very helpful for us to explore the taxa and functional roles of the marine Roseobacter in biofilm of coastal oceans.","2022-10-04T06:28:26.702Z","2022-10-04T06:28:26.702Z",1
154981.46,"Aliiroseovarius crassostreae strain S056","unkown","Have never seein Aliiroseovarius in my career, believe it to be halotolerant and aerobic heterotrophs without photosynthetic capabilities","Halotolerant_extra","NA",154981,"131567;2;1224;28211;204455;31989;1658781;154981","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Aliiroseovarius;Aliiroseovarius crassostreae","Bacteria","NA","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Aliiroseovarius","NA","Complete","S056","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Good","2022-09-12T00:00:00Z","NA","NA","PRJNA753157","SAMN20691617","GCA_025137935.1","NA","CP080776,CP080777","Ocean University of China","NA","PacBio Sequel; Illumina NovaSeq","100.0x","SMART Link v. v5.0.1","NA",1,2,3364108,58.922424,1,3126622,49,9,"NA",3346,97.9,96.7,"NA","NA","NA","the biofilms collected from three coastal waters of China, and the complete genomes of these Roseobacter were constructed","isolated from the biofilms collected from three coastal waters of China, and the complete genomes of these Roseobacter were constructed in this Bioproject",44278,2021,"NA","NA","NA","China","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","55 strains of the marine Roseobacter clade were isolated from the biofilms collected from three coastal waters of China, and the complete genomes of these Roseobacter were constructed in this Bioproject. These published data are very helpful for us to explore the taxa and functional roles of the marine Roseobacter in biofilm of coastal oceans.","2022-10-04T06:28:25.777Z","2022-10-04T06:28:25.777Z",1
154981.49,"Aliiroseovarius crassostreae strain S128","unkown","Have never seein Aliiroseovarius in my career, believe it to be halotolerant and aerobic heterotrophs without photosynthetic capabilities","Halotolerant_extra","NA",154981,"131567;2;1224;28211;204455;31989;1658781;154981","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Aliiroseovarius;Aliiroseovarius crassostreae","Bacteria","NA","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Aliiroseovarius","NA","Complete","S128","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Good","2022-09-12T00:00:00Z","NA","NA","PRJNA753157","SAMN20691647","GCA_025138055.1","NA","CP080778,CP080779","Ocean University of China","NA","PacBio Sequel; Illumina NovaSeq","100.0x","SMART Link v. v5.0.1","NA",1,2,3364776,58.940296,1,3115896,49,9,"NA",3348,97.9,96.8,"NA","NA","NA","the biofilms collected from three coastal waters of China, and the complete genomes of these Roseobacter were constructed","isolated from the biofilms collected from three coastal waters of China, and the complete genomes of these Roseobacter were constructed in this Bioproject",44278,2021,"NA","NA","NA","China","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","55 strains of the marine Roseobacter clade were isolated from the biofilms collected from three coastal waters of China, and the complete genomes of these Roseobacter were constructed in this Bioproject. These published data are very helpful for us to explore the taxa and functional roles of the marine Roseobacter in biofilm of coastal oceans.","2022-10-04T06:39:13.714Z","2022-10-04T06:39:13.714Z",1
154981.48,"Aliiroseovarius crassostreae strain S137","unkown","Have never seein Aliiroseovarius in my career, believe it to be halotolerant and aerobic heterotrophs without photosynthetic capabilities","Halotolerant_extra","NA",154981,"131567;2;1224;28211;204455;31989;1658781;154981","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Aliiroseovarius;Aliiroseovarius crassostreae","Bacteria","NA","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Aliiroseovarius","NA","Complete","S137","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Good","2022-09-12T00:00:00Z","NA","NA","PRJNA753157","SAMN20691656","GCA_025138255.1","NA","CP080780,CP080781","Ocean University of China","NA","PacBio Sequel; Illumina NovaSeq","100.0x","SMART Link v. v5.0.1","NA",1,2,3389944,58.95159,1,3176730,50,9,"NA",3377,98,96.8,"NA","NA","NA","the biofilms collected from three coastal waters of China, and the complete genomes of these Roseobacter were constructed","isolated from the biofilms collected from three coastal waters of China, and the complete genomes of these Roseobacter were constructed in this Bioproject",44278,2021,"NA","NA","NA","China","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","55 strains of the marine Roseobacter clade were isolated from the biofilms collected from three coastal waters of China, and the complete genomes of these Roseobacter were constructed in this Bioproject. These published data are very helpful for us to explore the taxa and functional roles of the marine Roseobacter in biofilm of coastal oceans.","2022-10-04T06:33:31.446Z","2022-10-04T06:33:31.446Z",1
154981.51,"Aliiroseovarius crassostreae strain S204","unkown","Have never seein Aliiroseovarius in my career, believe it to be halotolerant and aerobic heterotrophs without photosynthetic capabilities","Halotolerant_extra","NA",154981,"131567;2;1224;28211;204455;31989;1658781;154981","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Aliiroseovarius;Aliiroseovarius crassostreae","Bacteria","NA","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Aliiroseovarius","NA","Complete","S204","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Good","2022-09-12T00:00:00Z","NA","NA","PRJNA753157","SAMN20691711","GCA_025138535.1","NA","CP080784,CP080785","Ocean University of China","NA","PacBio Sequel; Illumina NovaSeq","100.0x","SMART Link v. v5.0.1","NA",1,2,3328941,58.896236,1,3124712,49,9,"NA",3298,98.2,96.9,"NA","NA","NA","the biofilms collected from three coastal waters of China, and the complete genomes of these Roseobacter were constructed","isolated from the biofilms collected from three coastal waters of China, and the complete genomes of these Roseobacter were constructed in this Bioproject",44278,2021,"NA","NA","NA","China","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","55 strains of the marine Roseobacter clade were isolated from the biofilms collected from three coastal waters of China, and the complete genomes of these Roseobacter were constructed in this Bioproject. These published data are very helpful for us to explore the taxa and functional roles of the marine Roseobacter in biofilm of coastal oceans.","2022-10-04T06:33:29.588Z","2022-10-04T06:33:29.588Z",1
154981.52,"Aliiroseovarius crassostreae strain S212","unkown","Have never seein Aliiroseovarius in my career, believe it to be halotolerant and aerobic heterotrophs without photosynthetic capabilities","Halotolerant_extra","NA",154981,"131567;2;1224;28211;204455;31989;1658781;154981","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Aliiroseovarius;Aliiroseovarius crassostreae","Bacteria","NA","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Aliiroseovarius","NA","Complete","S212","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Good","2022-09-12T00:00:00Z","NA","NA","PRJNA753157","SAMN20691712","GCA_025138695.1","NA","CP080786,CP080787","Ocean University of China","NA","PacBio Sequel; Illumina NovaSeq","100.0x","SMART Link v. v5.0.1","NA",1,2,3287787,58.985237,1,3097005,49,9,"NA",3247,98.2,96.9,"NA","NA","NA","the biofilms collected from three coastal waters of China, and the complete genomes of these Roseobacter were constructed","isolated from the biofilms collected from three coastal waters of China, and the complete genomes of these Roseobacter were constructed in this Bioproject",44278,2021,"NA","NA","NA","China","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","55 strains of the marine Roseobacter clade were isolated from the biofilms collected from three coastal waters of China, and the complete genomes of these Roseobacter were constructed in this Bioproject. These published data are very helpful for us to explore the taxa and functional roles of the marine Roseobacter in biofilm of coastal oceans.","2022-10-04T06:33:34.216Z","2022-10-04T06:33:34.216Z",1
2651822.3,"Aliiroseovarius sp. xm-a-104","unkown","Have never seein Aliiroseovarius in my career, believe it to be halotolerant and aerobic heterotrophs without photosynthetic capabilities","Halotolerant_extra","NA",2651822,"131567;2;1224;28211;204455;31989;1658781;2623558;2651822","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Aliiroseovarius;unclassified Aliiroseovarius;Aliiroseovarius sp. xm-a-104","Bacteria","NA","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Aliiroseovarius","NA","WGS","xm-a-104","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Good","2020-06-06T00:00:00Z","NA","NA","PRJNA575125","SAMN12878182","GCA_013283165.1","NA","WBXQ00000000","The Chinese University of Hong Kong","WGS","Illumina HiSeq 2500","65x","SPAdes v. 3.9.1","NA",0,20,3266724,59.142647,3,358925,46,3,"NA",3235,96.4,95.1,"NA","NA","NA","coastal seawater","NA",42299,2015,"NA","China","Asia","China:Xiamen","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","sample_type:cell culture","The seemingly homogeneous seawater contains microspatial niches at the scale relevant to microbial activities. It remained poorly understood, however, whether these microenvironments are able to drive genome evolution of the microbial inhabitants. We show that two sympatric bacterial populations (the Marinobacterium population and the Roseobacter population ) from a single seawater sample display fundamentally different patterns of genome evolution. Our results indicate that phycospheres, where bacteria interact with phytoplankton, are likely the most important niche that drive the cryptic speciation of the Roseobacter population.","2020-07-01T04:51:00.952Z","2020-07-01T04:51:00.952Z",20
