Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"1076.69","Rhodopseudomonas palustris strain 4810",,1076,"131567;2;1224;28211;356;41294;1073;1076","cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Rhodopseudomonas;Rhodopseudomonas palustris","Bacteria",,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Rhodopseudomonas",,"WGS","4810",,,,,,,,,,,,,,,,,"DSM 216","Yes",,"Good","2020-08-10T00:00:00Z","32757114",,"PRJNA638421","SAMN15198692","GCA_014145305.1",,"JABVZT000000000","Bellevue University","WGS","Illumina MiniSeq","33.0x","Metagenomic binning in PATRIC v.",,,316,5346420,63.447933,46,34048,56,1,,5498,96.8,89.3,,,,"contaminant of Thiospirillum jenense DSM216 culture",,"1991",1991,,"Germany","Europe","Germany: Ostrau",,,,,,,,,,,"sample_type:Enriched culture;biomaterial_provider:Dr. Johannes Imhoff, GEOMAR Helmholtz Centre for Ocean Research Kiel, RD3 Marine Symbioses, Dusternbrooker Weg 20, 24105 Kiel, Germany","Thiospirillum jenense is a giant purple sulfur bacterium belonging to the gammaproteobacteria and has been an interesting object of study for almost two centuries, especially during the early years of microbiology. The bacterium was found originally by Ehrenberg (1838) and has only been able to be maintained transiently in enrichment cultures. We now sequenced the genome of Thiospirillum jenense DSM 216, type strain. The enrichment culture also contained the genomes for two minor contaminants, identified as Rhodopseudomonas palustris and Rhodoferax jenense 4810, which were separated out by metagenomic binning.","2020-08-22T11:42:23.339Z","2020-08-22T11:42:23.339Z"
"1111071.4","Rhodoferax antarcticus ANT.BR",,1111071,"131567;2;1224;28216;80840;80864;28065;81479;1111071","cellular organisms;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;Rhodoferax antarcticus;Rhodoferax antarcticus ANT.BR","Bacteria",,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax","Rhodoferax antarcticus","WGS","ANT.BR",,,,,,,,,,,,,,,,,,,,"Good","2017-01-06T00:00:00Z",,,"PRJNA350831","SAMN05907728","GCF_001938565.1",,"MSYM00000000","Indiana Wesleyan University","WGS","Illumina HiSeq; Roche 454-GS20","1539x","Velvet v. 2010",,,20,4007233,58.58,4,332335,64,3,,4268,96.5,94.8,3.5,100,,"microbial mat in pond",,"1993-12",1993,,"Antarctica","Antarctica","Antarctica: Cape Royds, Ross Island",,,,,,,,,,,"sample_type:aquatic microbial mat","This study was an investigation into the genetic basis of photosynthesis in extremophilic bacteria and a consideration of the evolutionary implications of cold-adapted phototrophic mechanisms.","2017-01-23T22:56:13.575Z","2017-01-23T22:56:13.575Z"
"1164562.3","uncultured Albidiferax sp. m13-metabat.13",,1164562,"131567;2;1224;28216;80840;80864;28065;54524;1164562","cellular organisms;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;environmental samples;uncultured Albidiferax sp.","Bacteria",,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax",,"WGS","m13-metabat.13",,,,,,,,,,,,,,,,,,,,"Good","2023-10-01T00:00:00Z",,,"PRJEB65858","SAMEA114385312",,,"CAUPNG000000000",,,,,,,,38,4749154,63.688965,8,215079,42,,,4452,94.9,93,,87.5,,"freshwater culture",,"2018-03-30",2018,,"Switzerland","Europe","Switzerland",,,,,,,,,,,,,"2023-10-30T08:08:56.941Z","2023-10-30T08:08:56.941Z"
"1164562.4","uncultured Albidiferax sp. m06-metabat.9",,1164562,"131567;2;1224;28216;80840;80864;28065;54524;1164562","cellular organisms;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;environmental samples;uncultured Albidiferax sp.","Bacteria",,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax",,"WGS","m06-metabat.9",,,,,,,,,,,,,,,,,,,,"Good","2023-10-01T00:00:00Z",,,"PRJEB65858","SAMEA114385272",,,"CAUPNM000000000",,,,,,,,56,4842559,63.083794,11,151525,42,,,4555,97.4,94.9,,100,,"freshwater culture",,"2018-03-30",2018,,"Switzerland","Europe","Switzerland",,,,,,,,,,,,,"2023-10-30T08:08:49.812Z","2023-10-30T08:08:49.812Z"
"1164562.5","uncultured Albidiferax sp. m13-metabat.12",,1164562,"131567;2;1224;28216;80840;80864;28065;54524;1164562","cellular organisms;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;environmental samples;uncultured Albidiferax sp.","Bacteria",,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax",,"WGS","m13-metabat.12",,,,,,,,,,,,,,,,,,,,"Good","2023-10-01T00:00:00Z",,,"PRJEB65858","SAMEA114385311",,,"CAUPON000000000",,,,,,,,55,4945617,63.04271,12,122549,43,,,4730,94.1,92.3,,83.3,,"freshwater culture",,"2018-03-30",2018,,"Switzerland","Europe","Switzerland",,,,,,,,,,,,,"2023-10-30T08:10:06.800Z","2023-10-30T08:10:06.800Z"
"1164562.6","uncultured Albidiferax sp. m12-metabat.4",,1164562,"131567;2;1224;28216;80840;80864;28065;54524;1164562","cellular organisms;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;environmental samples;uncultured Albidiferax sp.","Bacteria",,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax",,"WGS","m12-metabat.4",,,,,,,,,,,,,,,,,,,,"Good","2023-10-01T00:00:00Z",,,"PRJEB65858","SAMEA114385307",,,"CAUPPH000000000",,,,,,,,27,4826317,63.086823,5,380985,41,,,4609,96.2,94.5,,95.8,,"freshwater culture",,"2018-03-30",2018,,"Switzerland","Europe","Switzerland",,,,,,,,,,,,,"2023-10-30T08:10:00.867Z","2023-10-30T08:10:00.867Z"
"1164562.7","uncultured Albidiferax sp. m14-metabat.5",,1164562,"131567;2;1224;28216;80840;80864;28065;54524;1164562","cellular organisms;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;environmental samples;uncultured Albidiferax sp.","Bacteria",,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax",,"WGS","m14-metabat.5",,,,,,,,,,,,,,,,,,,,"Good","2023-10-01T00:00:00Z",,,"PRJEB65858","SAMEA114385325",,,"CAUPQV000000000",,,,,,,,25,5615939,63.551743,7,305809,43,,,5309,96.2,93.5,,100,,"freshwater culture",,"2018-03-30",2018,,"Switzerland","Europe","Switzerland",,,,,,,,,,,,,"2023-10-30T08:12:22.416Z","2023-10-30T08:12:22.416Z"
"1164562.8","uncultured Albidiferax sp. m18-metabat.1",,1164562,"131567;2;1224;28216;80840;80864;28065;54524;1164562","cellular organisms;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;environmental samples;uncultured Albidiferax sp.","Bacteria",,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax",,"WGS","m18-metabat.1",,,,,,,,,,,,,,,,,,,,"Good","2023-10-01T00:00:00Z",,,"PRJEB65858","SAMEA114385344",,,"CAUPRH000000000",,,,,,,,24,4606516,63.256527,5,359885,40,,,4397,96,94.3,,100,,"freshwater culture",,"2018-03-30",2018,,"Switzerland","Europe","Switzerland",,,,,,,,,,,,,"2023-10-30T08:12:14.523Z","2023-10-30T08:12:14.523Z"
"1484693.3","Rhodoferax saidenbachensis strain DSM 22694",,1484693,"131567;2;1224;28216;80840;80864;28065;1484693","cellular organisms;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;Rhodoferax saidenbachensis","Bacteria",,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax",,"Complete","DSM 22694",,,,,,,,,,,,,,,,,"DSM: 22694",,"Representative","Good","2017-01-18T00:00:00Z",,,"PRJNA361194","SAMN06130150","GCF_001955715.1",,"CP019239","Korea University","Complete","PacBio","288.0x","PacBio SMRT Analysis v. v2.3",,,1,4264855,60.95,1,4264855,46,2,,4106,97.1,96,,100,,"environment",,"1991-01-01",1991,,,,,,,,,,,,,,,"sample_type:Whole organism","Genome sequencing of Rhodoferax saidenbachensis DSM 22694","2017-03-20T05:57:04.973Z","2017-03-20T05:57:04.973Z"
"1484693.8","Rhodoferax saidenbachensis BE308",,1484693,"131567;2;1224;28216;80840;80864;28065;1484693","cellular organisms;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;Rhodoferax saidenbachensis","Bacteria",,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax",,"WGS","BE308",,,,,,,,,,,,,,,,,,,,"Good","2023-09-13T00:00:00Z",,,"PRJNA709312","SAMN18250242",,,"JAVDXO000000000",,,"Illumina","339.0x","SPAdes v. 3.14.1",,,23,4421320,61.757122,4,399286,61,3,,4254,96.8,95.4,2.4,99.3,,,,,,,"USA","North America","USA: Ithaca, New York",,"Not applicable",,,,,,,,,,,"2023-09-29T16:35:10.706Z","2023-09-29T16:35:10.706Z"
